alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
ks-tian-yuen-restaurant-cloverdale,"['chinese', 'japanese', 'sushi']","['Chinese', 'Japanese', 'Sushi Bars']",38.800350189209,-123.017036437988,(707) 894-5697,47334.2100996079,GT3BntVo-Ves8ZywrmHTkg,https://s3-media2.fl.yelpcdn.com/bphoto/ZUxipGvTbNL8-D-xviIPhA/o.jpg,421 S Cloverdale Blvd,,,Cloverdale,US,CA,95425,KS Tian Yuen Restaurant,+17078945697,$$,4.0,117,['pickup'],https://www.yelp.com/biz/ks-tian-yuen-restaurant-cloverdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-buffet-fort-bragg,"['chinese', 'buffets']","['Chinese', 'Buffets']",39.4372825622559,-123.80419921875,(707) 964-8938,51613.01074346524,wK_mHLeCXeRgVryJ4SxvtQ,https://s3-media4.fl.yelpcdn.com/bphoto/0fcVcFx9fLD4hbomtN8dTQ/o.jpg,450 S Franklin St,,,Fort Bragg,US,CA,95437,Asian Buffet,+17079648938,$,3.5,66,[],https://www.yelp.com/biz/asian-buffet-fort-bragg?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nits-cafe-fort-bragg,"['asianfusion', 'thai']","['Asian Fusion', 'Thai']",39.44478,-123.8055,(707) 964-7187,52346.21431518771,2kWOmwb1vO6VNG0WxmrZZQ,https://s3-media3.fl.yelpcdn.com/bphoto/hr7RzyhKQdyNLdxNs6TY_g/o.jpg,322 N Main St,,,Fort Bragg,US,CA,95437,Nit's Cafe,+17079647187,$$,3.5,82,[],https://www.yelp.com/biz/nits-cafe-fort-bragg?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-fusion-sea-valley-fort-bragg,"['thai', 'laotian', 'seafood']","['Thai', 'Laotian', 'Seafood']",39.4443716,-123.8061524,(707) 200-4744,52361.05602041824,4-LxV_bwKB1-ebfvSxh3DQ,https://s3-media4.fl.yelpcdn.com/bphoto/r_jw2rrU_dndrD2Oq3SL4g/o.jpg,301 N Main St,,,Fort Bragg,US,CA,95437,Asian Fusion Sea Valley,+17072004744,$$,4.0,182,[],https://www.yelp.com/biz/asian-fusion-sea-valley-fort-bragg?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ravens-restaurant-mendocino,"['vegetarian', 'vegan', 'wine_bars']","['Vegetarian', 'Vegan', 'Wine Bars']",39.2993782071213,-123.792486990479,(707) 937-5615,39652.56974158835,t4xn_dN5wxMhx_F097Hokw,https://s3-media4.fl.yelpcdn.com/bphoto/PK_syELih8aE-19aXuEqDg/o.jpg,44850 Comptche Ukiah Rd,,,Mendocino,US,CA,95460,Ravens' Restaurant,+17079375615,$$$,3.5,309,[],https://www.yelp.com/biz/ravens-restaurant-mendocino?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
101-thai-way-cloverdale,['thai'],['Thai'],38.783698,-123.011209,(707) 894-9999,48900.379964676664,kzQg7SmFR4YR_cK2tWRjEQ,https://s3-media2.fl.yelpcdn.com/bphoto/p2cFiXdWWQx9Vf7W6uNwSw/o.jpg,1198 S Cloverdale Blvd,Ste C,,Cloverdale,US,CA,95425,101 Thai Way,+17078949999,$$,4.5,197,[],https://www.yelp.com/biz/101-thai-way-cloverdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
my-ha-restaurant-santa-rosa,"['vietnamese', 'buffets']","['Vietnamese', 'Buffets']",38.5121574401855,-122.779884338379,(707) 527-8882,84327.74260116962,2cPTjDxbKqoVv9AfXiNAiw,https://s3-media2.fl.yelpcdn.com/bphoto/zchWGpdyIz3Xclt6-b89Ww/o.jpg,385 Aviation Blvd,,,Santa Rosa,US,CA,95403,My Ha Restaurant,+17075278882,$$,3.0,90,[],https://www.yelp.com/biz/my-ha-restaurant-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
jyun-kang-vegetarian-restaurant-ukiah,"['vegan', 'chinese', 'vegetarian']","['Vegan', 'Chinese', 'Vegetarian']",39.1342562945454,-123.160354192244,(707) 468-7966,25714.609229554455,bEyHDmgOz332IiI7wVHaxg,https://s3-media1.fl.yelpcdn.com/bphoto/Y5KnVBVSJCV_49w7hcihQg/o.jpg,2001 Talmage Rd,,"City of 10,000 Buddhas",Ukiah,US,CA,95482,Jyun Kang Vegetarian Restaurant,+17074687966,$,4.5,127,[],https://www.yelp.com/biz/jyun-kang-vegetarian-restaurant-ukiah?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tian-yuen-asian-cuisine-windsor,['asianfusion'],['Asian Fusion'],38.5481323840392,-122.813902013004,(707) 892-2968,79386.25813483755,gD8FLXZCg2T4isVOlqK5lw,https://s3-media3.fl.yelpcdn.com/bphoto/rhSTHfq2GO5VySXlh2DYrw/o.jpg,610 McClelland Dr,,,Windsor,US,CA,95492,Tian Yuen Asian Cuisine,+17078922968,,3.5,31,[],https://www.yelp.com/biz/tian-yuen-asian-cuisine-windsor?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
kettles-vietnamese-bistro-santa-rosa,['vietnamese'],['Vietnamese'],38.4594955444336,-122.732200622559,(707) 528-3747,91448.39584533294,wxPfjrSBQWcSRCPy56jA1w,https://s3-media4.fl.yelpcdn.com/bphoto/KhD18fgzJkUVpOHCdNdJew/o.jpg,1202 W Steele Ln,,,Santa Rosa,US,CA,95403,Kettles Vietnamese Bistro,+17075283747,$$,4.0,380,['pickup'],https://www.yelp.com/biz/kettles-vietnamese-bistro-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
