alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-hana-rolling-hills-estates,['vietnamese'],['Vietnamese'],33.7738601058593,-118.376374952495,(310) 541-1227,2618.96292191391,URATEALHMwaX9pYv-LgCWw,https://s3-media2.fl.yelpcdn.com/bphoto/g7_RxGm_QDxYOgjs7UltXg/o.jpg,55 Peninsula Ctr,,,Rolling Hills Estates,US,CA,90274,Pho Hana,+13105411227,$$,4.0,183,[],https://www.yelp.com/biz/pho-hana-rolling-hills-estates?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-1945-and-poke-bowl-lomita-12,"['vietnamese', 'hawaiian', 'poke']","['Vietnamese', 'Hawaiian', 'Poke']",33.790197,-118.313806,(424) 263-5989,5721.798550475777,-wHfYMNKfnDc_SMvOgO80A,https://s3-media3.fl.yelpcdn.com/bphoto/P5qBPzn4R41wFhxMAVWGuA/o.jpg,1945 Pacific Coast Hwy,,,Lomita,US,CA,90717,Pho 1945 & Poke bowl,+14242635989,$,4.0,275,['pickup'],https://www.yelp.com/biz/pho-1945-and-poke-bowl-lomita-12?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nouilles-of-3rds-lomita,"['soup', 'cambodian', 'noodles']","['Soup', 'Cambodian', 'Noodles']",33.78978,-118.32572,(424) 347-7022,4947.905145692841,StWr6Sgw_O1eNRcGkbHPmQ,https://s3-media3.fl.yelpcdn.com/bphoto/I-AyM_xcwKP9uJZEN1MhUA/o.jpg,2413 Pacific Coast Hwy,Ste 102,,Lomita,US,CA,90717,Nouilles Of 3rds,+14243477022,$$,4.0,212,[],https://www.yelp.com/biz/nouilles-of-3rds-lomita?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
little-sister-redondo-beach-4,"['asianfusion', 'vietnamese', 'beer_and_wine']","['Asian Fusion', 'Vietnamese', 'Beer, Wine & Spirits']",33.81844,-118.38686,(424) 398-0237,7486.176320338246,yn27eayNMSUDmJVOFAL-uA,https://s3-media1.fl.yelpcdn.com/bphoto/vDqPALXZDlQ7UtaidfZpMA/o.jpg,247 Avenida Del Norte,,,Redondo Beach,US,CA,90277,Little Sister,+14243980237,$$$,4.0,122,"['delivery', 'pickup']",https://www.yelp.com/biz/little-sister-redondo-beach-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-bistro-torrance,['vietnamese'],['Vietnamese'],33.8316242,-118.3080163,(310) 618-9311,9726.77610468952,CP9I4uzhEl2wzkq78lpapQ,https://s3-media2.fl.yelpcdn.com/bphoto/mDxitQdFYCGPURNF_3XMXw/o.jpg,1639 W Carson St,,,Torrance,US,CA,90501,Saigon Bistro,+13106189311,$,4.0,252,[],https://www.yelp.com/biz/saigon-bistro-torrance?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nams-red-door-vietnamese-restaurant-san-pedro,['vietnamese'],['Vietnamese'],33.7235939,-118.2881249,(310) 832-4120,7449.684526031367,yJ1OcCn_j2NwRld6eNQTBQ,https://s3-media3.fl.yelpcdn.com/bphoto/7QGsMu-nQWm8xrQMbzN1DQ/o.jpg,2253 S Pacific Ave,,,San Pedro,US,CA,90731,Nam's Red Door Vietnamese Restaurant,+13108324120,$$,3.0,94,[],https://www.yelp.com/biz/nams-red-door-vietnamese-restaurant-san-pedro?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hana-restaurant-torrance,['vietnamese'],['Vietnamese'],33.820055,-118.352184,(310) 373-7560,7244.326437680714,ja2HSFraZrdjCOCktABvtw,https://s3-media2.fl.yelpcdn.com/bphoto/ib3OWzNaUK6BjiBDcxI-7A/o.jpg,22815 Hawthorne Blvd,,,Torrance,US,CA,90505,Pho Hana Restaurant,+13103737560,$,3.5,357,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-hana-restaurant-torrance?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
little-shop-of-mary-torrance,"['vietnamese', 'sandwiches', 'coffee']","['Vietnamese', 'Sandwiches', 'Coffee & Tea']",33.8365449,-118.321704,(424) 558-8198,9698.562859524283,x1XCN2rdE5c_KolnexemGA,https://s3-media1.fl.yelpcdn.com/bphoto/Lv3EGZJCjNVPGygXy_UA_Q/o.jpg,2205 Torrance Blvd,Ste A,,Torrance,US,CA,90501,Little Shop Of Mary,+14245588198,$,4.0,463,[],https://www.yelp.com/biz/little-shop-of-mary-torrance?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-show-redondo-beach,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",33.8192406,-118.3856888,(310) 792-7800,7532.813766765362,V6KBS3Gqz6Ls3_7smSLjvQ,https://s3-media1.fl.yelpcdn.com/bphoto/rRHX5wuQMKHTg8lf7VdYBw/o.jpg,1617 S Pacific Coast Hwy,Ste 101,,Redondo Beach,US,CA,90277,Pho Show,+13107927800,$$,3.0,522,[],https://www.yelp.com/biz/pho-show-redondo-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
blue-lotus-vietnamese-cuisine-carson,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",33.8313829387516,-118.278334711761,(310) 518-9538,11295.86872887084,nCEzlWQF5VTtfSB5h5yk6g,https://s3-media2.fl.yelpcdn.com/bphoto/tGH2VAyORgTFzwVg3O0Flw/o.jpg,21705 Main St,,,Carson,US,CA,90745,Blue Lotus Vietnamese Cuisine,+13105189538,$,3.5,464,[],https://www.yelp.com/biz/blue-lotus-vietnamese-cuisine-carson?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
