alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
new-saigon-bakersfield,['vietnamese'],['Vietnamese'],35.359362606084,-119.003847384656,(661) 631-2538,49689.35790481354,ZbDwndKHe2L3JpTE_4zbcg,https://s3-media4.fl.yelpcdn.com/bphoto/YSd_FJqlpcZcRLS_RyD2PQ/o.jpg,333 Union Ave,Ste 201,,Bakersfield,US,CA,93307,New Saigon,+16616312538,$,4.0,157,[],https://www.yelp.com/biz/new-saigon-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-restaurant-bakersfield,['vietnamese'],['Vietnamese'],35.3647951,-119.0374877,(661) 327-8810,48602.854057785145,opVq8bGHYXcnHu2azK1I_g,https://s3-media2.fl.yelpcdn.com/bphoto/2ZPylQd8aAlaozLNvdsuhg/o.jpg,3113 Chester Ln,,,Bakersfield,US,CA,93304,Saigon Restaurant,+16613278810,$,4.0,175,[],https://www.yelp.com/biz/saigon-restaurant-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vy-bakersfield,['vietnamese'],['Vietnamese'],35.359216,-119.003501,(661) 323-9888,49711.33899975808,-eBnnnw9iYJalbNY1aU5oQ,https://s3-media3.fl.yelpcdn.com/bphoto/7LrLp6EKaKrHlk0KBJokhw/o.jpg,333 Union Ave,Ste 203,,Bakersfield,US,CA,93307,Pho-Vy,+16613239888,$,4.0,220,[],https://www.yelp.com/biz/pho-vy-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vientiane-cuisine-porterville,"['vietnamese', 'laotian', 'seafood']","['Vietnamese', 'Laotian', 'Seafood']",36.06633,-119.02943,(559) 791-0663,30654.230369195106,ejVWeQjJxncL_IRFeJ-iDQ,https://s3-media4.fl.yelpcdn.com/bphoto/xKi82vNG_S-PxG84s7xFEg/o.jpg,550 W Olive,Ste A,,Porterville,US,CA,93257,Vientiane Cuisine,+15597910663,$,4.0,64,['delivery'],https://www.yelp.com/biz/vientiane-cuisine-porterville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
soy-and-spice-cafe-bakersfield-6,"['vietnamese', 'thai', 'chinese']","['Vietnamese', 'Thai', 'Chinese']",35.2950041067997,-119.05479918552,(661) 282-8889,56146.2897432515,tjmUg2ceXPhfLJq0kP6BcQ,https://s3-media4.fl.yelpcdn.com/bphoto/wQKx1j5meaUc7DsaJQ0E_g/o.jpg,4725 Panama Ln,Ste D13,,Bakersfield,US,CA,93313,Soy & Spice Cafe,+16612828889,$,4.0,269,[],https://www.yelp.com/biz/soy-and-spice-cafe-bakersfield-6?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
davorns-place-visalia-4,"['laotian', 'thai', 'vietnamese']","['Laotian', 'Thai', 'Vietnamese']",36.333179473877,-119.298095703125,(559) 733-4885,61900.08997997709,veVqQqX3zkfUiV6aMj9e6Q,https://s3-media1.fl.yelpcdn.com/bphoto/urVP2A7TcaWZaZvmvem5BQ/o.jpg,409 N Willis St,,,Visalia,US,CA,93291,Davorn's Place,+15597334885,$$,4.0,386,[],https://www.yelp.com/biz/davorns-place-visalia-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
rolls-and-grill-bakersfield,"['vietnamese', 'poke', 'asianfusion']","['Vietnamese', 'Poke', 'Asian Fusion']",35.3392617187207,-119.045637885212,(661) 735-5830,51330.415828356854,Z1yqsQx4wwQzuRxB5OGy3Q,https://s3-media3.fl.yelpcdn.com/bphoto/AxUfcpY5koRqQtbKITf8hA/o.jpg,3803 Ming Ave,,,Bakersfield,US,CA,93309,Rolls And Grill,+16617355830,$$,4.5,238,['pickup'],https://www.yelp.com/biz/rolls-and-grill-bakersfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
xiong-pho-n-seafood-visalia-3,"['vietnamese', 'seafood', 'asianfusion']","['Vietnamese', 'Seafood', 'Asian Fusion']",36.3382373622481,-119.291961602374,(559) 732-3663,62288.12564716119,mAK04oKw7dC_ZZuAcmq5tA,https://s3-media4.fl.yelpcdn.com/bphoto/0nWsltPPhgLkS1pMGvE-Bw/o.jpg,924 N Court St,,,Visalia,US,CA,93291,Xiong Pho N Seafood,+15597323663,$,4.0,351,[],https://www.yelp.com/biz/xiong-pho-n-seafood-visalia-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
jasmine-and-the-new-taste-bakersfield-6,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",35.375919342041,-119.019187927246,(661) 432-7945,47624.785618906215,CjRZWxJzFOqVzs9nBnJatA,https://s3-media4.fl.yelpcdn.com/bphoto/6F2xsguyWoEtO8Mk1sqQXQ/o.jpg,1823 Chester Ave,,,Bakersfield,US,CA,93301,Jasmine & The New Taste,+16614327945,$$,4.0,263,"['delivery', 'pickup']",https://www.yelp.com/biz/jasmine-and-the-new-taste-bakersfield-6?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-99-noodle-house-tulare,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",36.2103435,-119.3467859,(559) 688-2128,50580.95119279384,OtzLJC-frLPw1ZexQcOB4A,https://s3-media1.fl.yelpcdn.com/bphoto/jbhnjyuwQoFzxKfy30xSIA/o.jpg,231 N K St,,,Tulare,US,CA,93274,Pho 99 Noodle House,+15596882128,$$,3.5,94,[],https://www.yelp.com/biz/pho-99-noodle-house-tulare?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
