alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-van-santee-3,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",32.83584,-116.98434,(619) 631-7878,5917.912890790672,wSxfswqmKeWi8O2xdHAZOQ,https://s3-media4.fl.yelpcdn.com/bphoto/AVwQCzmIHYlSWKaUvuyMgg/o.jpg,8790 Cuyamaca St,,,Santee,US,CA,92071,Pho Van,+16196317878,$$,4.5,97,[],https://www.yelp.com/biz/pho-van-santee-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ca-dao-and-grill-santee,['vietnamese'],['Vietnamese'],32.8382725,-116.9900866,(619) 334-1990,6301.082840291057,pufcWXqe0Io9iddLEdK4NA,https://s3-media2.fl.yelpcdn.com/bphoto/z4-YZRHeHMCxToG5nikegw/o.jpg,9535 Mission Gorge Rd,Ste A,,Santee,US,CA,92071,Pho Ca Dao & Grill,+16193341990,$,4.0,556,[],https://www.yelp.com/biz/pho-ca-dao-and-grill-santee?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-superbowl-el-cajon-2,['vietnamese'],['Vietnamese'],32.79925,-116.93587,(619) 401-0906,6500.377134297611,mtsXCkFqr3erAkRiM7vG5A,https://s3-media3.fl.yelpcdn.com/bphoto/6fOlO9Iq6jTFQl8srO8O0g/o.jpg,382 N 2nd St,,,El Cajon,US,CA,92021,Pho Superbowl,+16194010906,$,3.5,234,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-superbowl-el-cajon-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hainan-chinese-restaurant-el-cajon-3,"['chinese', 'desserts', 'seafood']","['Chinese', 'Desserts', 'Seafood']",32.8203268,-116.9347967,(619) 328-2239,4175.780252588971,rN9VTIjboffflQkRuY-SOA,https://s3-media2.fl.yelpcdn.com/bphoto/ryneUEMnwRodIkZoHZws1A/o.jpg,1771 N 2nd St,,,El Cajon,US,CA,92021,Hainan Chinese Restaurant,+16193282239,$,4.5,89,[],https://www.yelp.com/biz/hainan-chinese-restaurant-el-cajon-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-superbowl-and-tea-station-la-mesa,"['vietnamese', 'coffee']","['Vietnamese', 'Coffee & Tea']",32.7789761153697,-117.016925811768,(619) 469-8984,12120.217634929579,GcGPG_HSUNE8iyWuwMmkhA,https://s3-media1.fl.yelpcdn.com/bphoto/3I1_GFOuMb-B0QUIYsge9A/o.jpg,8342 Pkwy Dr,,,La Mesa,US,CA,91942,Pho SuperBowl & Tea Station,+16194698984,$,3.5,548,[],https://www.yelp.com/biz/pho-superbowl-and-tea-station-la-mesa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pholicious-la-mesa,"['vietnamese', 'juicebars', 'soup']","['Vietnamese', 'Juice Bars & Smoothies', 'Soup']",32.7778585112367,-117.011107488395,(619) 667-6602,11839.652797499819,-um98fzlN-pR7ekxvc-Xyg,https://s3-media2.fl.yelpcdn.com/bphoto/YFshbbQWGo9gRFdqn10wfg/o.jpg,5500 Grossmont Center Dr,,,La Mesa,US,CA,91942,Pholicious,+16196676602,$,4.0,39,[],https://www.yelp.com/biz/pholicious-la-mesa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-vietnamese-sandwiches-and-cafe-lakeside,"['foodstands', 'sandwiches', 'vietnamese']","['Food Stands', 'Sandwiches', 'Vietnamese']",32.9334869,-116.8694763,,9984.309750130464,9WJ-xqJHBPgYOrhapnmfmQ,https://s3-media1.fl.yelpcdn.com/bphoto/i4ITtf8YDt5h649AuIcDmA/o.jpg,1932 Wildcat Canyon Rd,,,Lakeside,US,CA,92040,Banh Mi Vietnamese Sandwiches & Cafe,,$,4.0,14,[],https://www.yelp.com/biz/banh-mi-vietnamese-sandwiches-and-cafe-lakeside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sab-e-lee-santee,['thai'],['Thai'],32.8381919524622,-116.998938370659,(619) 328-1568,7089.06109596053,Mted3_gWmg4-1hDHHAYSQw,https://s3-media4.fl.yelpcdn.com/bphoto/PBgkQs9O27D9KLRQgikESw/o.jpg,9159 Mission Gorge Rd,,,Santee,US,CA,92071,Sab-E-Lee,+16193281568,$,4.5,465,[],https://www.yelp.com/biz/sab-e-lee-santee?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ho-wan-noodle-shop-lakeside,['chinese'],['Chinese'],32.9334884,-116.8694769,(619) 443-2300,10362.269909422641,Mm3EtHG1LIHPkW17-b0w5A,https://s3-media4.fl.yelpcdn.com/bphoto/11jDy2oeHQ5M2xDqhVP-TQ/o.jpg,1932 Wildcat Canyon Rd,,,Lakeside,US,CA,92040,Ho Wan Noodle Shop,+16194432300,$$,3.0,50,[],https://www.yelp.com/biz/ho-wan-noodle-shop-lakeside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pholicious-la-mesa-2,"['vietnamese', 'juicebars', 'soup']","['Vietnamese', 'Juice Bars & Smoothies', 'Soup']",32.77968,-117.01103,(619) 667-6602,11784.11657517751,XgPpbpvK-q1yD4QNgFXSzg,,5500 Grossmont Center Dr,,,La Mesa,US,CA,91942,Pholicious,+16196676602,,5.0,1,[],https://www.yelp.com/biz/pholicious-la-mesa-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
