alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-hana-rolling-hills-estates,['vietnamese'],['Vietnamese'],33.7738601058593,-118.376374952495,(310) 541-1227,414.41943749682895,URATEALHMwaX9pYv-LgCWw,https://s3-media2.fl.yelpcdn.com/bphoto/g7_RxGm_QDxYOgjs7UltXg/o.jpg,55 Peninsula Ctr,,,Rolling Hills Estates,US,CA,90274,Pho Hana,+13105411227,$$,4.0,183,[],https://www.yelp.com/biz/pho-hana-rolling-hills-estates?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
nouilles-of-3rds-lomita,"['soup', 'cambodian', 'noodles']","['Soup', 'Cambodian', 'Noodles']",33.78978,-118.32572,(424) 347-7022,4624.8758298897965,StWr6Sgw_O1eNRcGkbHPmQ,https://s3-media3.fl.yelpcdn.com/bphoto/I-AyM_xcwKP9uJZEN1MhUA/o.jpg,2413 Pacific Coast Hwy,Ste 102,,Lomita,US,CA,90717,Nouilles Of 3rds,+14243477022,$$,4.0,212,[],https://www.yelp.com/biz/nouilles-of-3rds-lomita?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bamboo-song-2-torrance,"['asianfusion', 'vietnamese']","['Asian Fusion', 'Vietnamese']",33.8056772,-118.3278351,(310) 326-1868,5403.346017635269,RaXRn9wNkYGx4ODB9gTEbA,https://s3-media2.fl.yelpcdn.com/bphoto/J4XPzpJjbWB_3AVvRjB5jQ/o.jpg,24202 Crenshaw Blvd,,,Torrance,US,CA,90505,Bamboo Song 2,+13103261868,$,3.5,146,"['pickup', 'delivery']",https://www.yelp.com/biz/bamboo-song-2-torrance?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bashi-rancho-palos-verdes,"['asianfusion', 'sushi', 'noodles']","['Asian Fusion', 'Sushi Bars', 'Noodles']",33.7382090872277,-118.397315573388,(310) 265-2836,4602.510129723584,49Ib3q8XKr6nnWIxO_qx0Q,https://s3-media2.fl.yelpcdn.com/bphoto/L3gcQBWuxqY3AxS_KdjmEg/o.jpg,100 Terranea Way,,,Rancho Palos Verdes,US,CA,90275,bashi,+13102652836,$$,3.5,189,[],https://www.yelp.com/biz/bashi-rancho-palos-verdes?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
swan-thai-rancho-palos-verdes,['thai'],['Thai'],33.7492103,-118.4074216,(310) 377-7200,4280.004262274822,c8BSzr2en0g3QK2hQcS7ZQ,https://s3-media4.fl.yelpcdn.com/bphoto/Y2v_1GmB5Cfvle3q2BNJ6Q/o.jpg,31206 Palos Verdes Dr W,,,Rancho Palos Verdes,US,CA,90275,Swan Thai,+13103777200,$$,4.0,362,"['pickup', 'delivery']",https://www.yelp.com/biz/swan-thai-rancho-palos-verdes?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
yellow-fever-torrance,"['asianfusion', 'japanese', 'korean']","['Asian Fusion', 'Japanese', 'Korean']",33.8034733840643,-118.327543208771,(310) 539-2249,5261.803213991927,XQXX2Bhw-Rs8WIoi4-8llA,https://s3-media3.fl.yelpcdn.com/bphoto/5qPsVaejNkhN-BsbdWqhOA/o.jpg,24416 Crenshaw Blvd,,,Torrance,US,CA,90505,Yellow Fever,+13105392249,$$,4.0,824,"['pickup', 'delivery']",https://www.yelp.com/biz/yellow-fever-torrance?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
suki-time-thai-kitchen-lomita,"['thai', 'hotpot']","['Thai', 'Hot Pot']",33.80341,-118.32176,(424) 347-7075,5677.677902708035,y6FT3DTxk3G1guz1eHF_Qg,https://s3-media2.fl.yelpcdn.com/bphoto/N-5RDjiTpspiGlybOyE9Tw/o.jpg,2271 Lomita Blvd,,,Lomita,US,CA,90717,Suki Time Thai Kitchen,+14243477075,$$,4.5,392,"['pickup', 'delivery']",https://www.yelp.com/biz/suki-time-thai-kitchen-lomita?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
yum-thai-bistro-redondo-beach,"['thai', 'seafood', 'noodles']","['Thai', 'Seafood', 'Noodles']",33.816163,-118.377519,(310) 316-1188,4739.555532347167,1Bs9tQrQHPvhxsZP1rzsLg,https://s3-media1.fl.yelpcdn.com/bphoto/sV2K1UPQaCukIeKxdDSLIQ/o.jpg,1888 1/2 S Pacific Coast Hwy,,,Redondo Beach,US,CA,90277,Yum Thai Bistro,+13103161188,$$,4.0,437,"['pickup', 'delivery']",https://www.yelp.com/biz/yum-thai-bistro-redondo-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-hub-street-food-dessert-cafe-torrance,['thai'],['Thai'],33.8043021212469,-118.350312424046,(424) 350-7289,3934.863262762366,VfK_zr3Llkse97gAttb7cg,https://s3-media3.fl.yelpcdn.com/bphoto/l9i5KvBF-DAhQEaaoL1QZg/o.jpg,3720 Pacific Coast Hwy,Ste 101,,Torrance,US,CA,90505,Thai Hub Street Food Dessert Cafe,+14243507289,$$,4.0,79,"['pickup', 'delivery']",https://www.yelp.com/biz/thai-hub-street-food-dessert-cafe-torrance?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ubon-thai-kitchen-torrance,['thai'],['Thai'],33.8018558,-118.3285862,(310) 326-1092,5074.57965660774,M-ObMiA5QPoSXBsErIRG6Q,https://s3-media1.fl.yelpcdn.com/bphoto/qan7KHhNMYO_yaVDH-edpQ/o.jpg,24631 Crenshaw Blvd,Ste J,,Torrance,US,CA,90505,Ubon Thai Kitchen,+13103261092,$,4.0,371,"['pickup', 'delivery']",https://www.yelp.com/biz/ubon-thai-kitchen-torrance?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
