alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-805-solvang,['vietnamese'],['Vietnamese'],34.594285,-120.139051,(805) 686-8200,25053.460840746044,2avvxmTJoAJ7zQ9CgJe1bQ,https://s3-media1.fl.yelpcdn.com/bphoto/HgxKj9blHXbt75ZZ9_P7aQ/o.jpg,435 Alisal Rd,,,Solvang,US,CA,93463,Pho 805,+18056868200,$$,4.0,245,[],https://www.yelp.com/biz/pho-805-solvang?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
al-pho-santa-maria-3,"['vietnamese', 'bbq', 'hotdogs']","['Vietnamese', 'Barbeque', 'Fast Food']",34.95326,-120.41598,(805) 332-3378,55159.802132663885,R5d_uTX0ljeGi7zu-o5GUw,https://s3-media1.fl.yelpcdn.com/bphoto/rmnE0iRGxHbEM5JaUztKxQ/o.jpg,1201 E Main St,Ste B,,Santa Maria,US,CA,93454,AL PHO,+18053323378,$$,4.5,315,[],https://www.yelp.com/biz/al-pho-santa-maria-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
viet-kitchen-santa-maria,['vietnamese'],['Vietnamese'],34.89472,-120.43827,(805) 862-4790,49022.85048266894,wMv7DtOH2RsN89RZPRfUhQ,https://s3-media4.fl.yelpcdn.com/bphoto/rmeKrzePRqtNnvRck3btMw/o.jpg,3558 Skyway Dr,Ste C,,Santa Maria,US,CA,93455,Viet Kitchen,+18058624790,,4.5,84,[],https://www.yelp.com/biz/viet-kitchen-santa-maria?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-city-goleta,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.43581,-119.8282923,(805) 683-6818,48655.271259080524,L6nIOUwcTGgQKExGHmvTzQ,https://s3-media3.fl.yelpcdn.com/bphoto/yjzO6rNXe8kCdB8q1HSTmw/o.jpg,5869 Hollister Ave,,,Goleta,US,CA,93117,Noodle City,+18056836818,$,3.5,413,[],https://www.yelp.com/biz/noodle-city-goleta?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
phamous-cafe-goleta,['vietnamese'],['Vietnamese'],34.428242,-119.876408,(805) 845-9881,44311.11408779216,ju4YP8SLdR_BmWr_-Xh83Q,https://s3-media4.fl.yelpcdn.com/bphoto/LvBPC4aOaOASQ867zl0AzA/o.jpg,7127 Hollister Ave,Ste 25,,Goleta,US,CA,93117,Phamous Cafe,+18058459881,$,4.0,176,[],https://www.yelp.com/biz/phamous-cafe-goleta?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-vietnamese-restaurant-santa-barbara-2,"['vietnamese', 'wine_bars', 'vegetarian']","['Vietnamese', 'Wine Bars', 'Vegetarian']",34.4243,-119.70525,(805) 966-0909,59993.69340607792,5uNCvNy9L6peKeKP1RRPyg,https://s3-media2.fl.yelpcdn.com/bphoto/PqE925SKr1J27Lhzk9RS3w/o.jpg,1230 State St,Unit A,,Santa Barbara,US,CA,93101,Saigon Vietnamese Restaurant,+18059660909,$$,3.0,329,"['delivery', 'pickup']",https://www.yelp.com/biz/saigon-vietnamese-restaurant-santa-barbara-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-cuisine-santa-maria,['vietnamese'],['Vietnamese'],34.951185,-120.438588,(805) 878-6995,55172.347110648465,4yUpfqSfE5PoFL_ES01Ccg,https://s3-media2.fl.yelpcdn.com/bphoto/FCJA8ankuDSBnc9Dzrsb-w/o.jpg,229 Town Ctr W,,,Santa Maria,US,CA,93458,Saigon Cuisine,+18058786995,$$,4.0,67,[],https://www.yelp.com/biz/saigon-cuisine-santa-maria?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-noodle-house-goleta,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.4292886176056,-119.867126707329,(805) 968-5116,45150.57574238211,dvs-RLII_zdcxfjoqOFJzw,https://s3-media4.fl.yelpcdn.com/bphoto/1pw7e3Y2ddfYIH95grIw_Q/o.jpg,6831 Hollister Ave,Ste L,,Goleta,US,CA,93118,Saigon Noodle House,+18059685116,$,3.0,272,[],https://www.yelp.com/biz/saigon-noodle-house-goleta?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-vietnamese-restaurant-santa-barbara-3,['vietnamese'],['Vietnamese'],34.4401759,-119.7539286,(805) 964-0909,55657.50311119107,v5jxpGnKbx3vVxs28dgokQ,https://s3-media1.fl.yelpcdn.com/bphoto/E3lPcGaQp5SjbFHZ7T17vg/o.jpg,3987 A State St,,,Santa Barbara,US,CA,93105,Saigon Vietnamese Restaurant,+18059640909,$$,3.0,169,[],https://www.yelp.com/biz/saigon-vietnamese-restaurant-santa-barbara-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
suvans-kitchen-lompoc,"['thai', 'chinese', 'laotian']","['Thai', 'Chinese', 'Laotian']",34.6611837994599,-120.458841166428,(805) 737-9802,24254.689281786974,gIVAahsnJ8L9__clHNSmFg,https://s3-media3.fl.yelpcdn.com/bphoto/gNqDutv2ythGpqTnzBLziw/o.jpg,129 W Central Ave,,,Lompoc,US,CA,93436,Suvans Kitchen,+18057379802,$$,4.0,163,[],https://www.yelp.com/biz/suvans-kitchen-lompoc?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
