alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
san-tung-san-francisco-2,"['chinese', 'chicken_wings', 'noodles']","['Chinese', 'Chicken Wings', 'Noodles']",37.76367,-122.46896,(415) 242-0828,2877.9920007894843,M0JTO3oyu6gxh1mfFjU-dA,https://s3-media4.fl.yelpcdn.com/bphoto/LTtoZ25m8FX1UV37asnTCw/o.jpg,1031 Irving St,,,San Francisco,US,CA,94122,San Tung,+14152420828,$$,4.0,6471,[],https://www.yelp.com/biz/san-tung-san-francisco-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sam-wo-restaurant-san-francisco-3,['chinese'],['Chinese'],37.7942543029785,-122.405113220215,(415) 989-8898,4618.182214394335,Z_X0WvSmh9DUxBD9xhet9Q,https://s3-media1.fl.yelpcdn.com/bphoto/JscOXFoclTvP4RCfeTNUJA/o.jpg,713 Clay St,,,San Francisco,US,CA,94108,Sam Wo Restaurant,+14159898898,$,4.0,941,"['pickup', 'delivery']",https://www.yelp.com/biz/sam-wo-restaurant-san-francisco-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hunan-homes-restaurant-san-francisco,['chinese'],['Chinese'],37.7964057922363,-122.405654907227,(415) 982-2844,4784.378862826334,cHoNUKltOAJWSmNfsZ1h-w,https://s3-media1.fl.yelpcdn.com/bphoto/mF9pWakxcd9CiASGYudeiQ/o.jpg,622 Jackson St,,,San Francisco,US,CA,94133,Hunan Home's Restaurant,+14159822844,$$,4.0,1981,['pickup'],https://www.yelp.com/biz/hunan-homes-restaurant-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
r-and-g-lounge-san-francisco,"['chinese', 'seafood', 'soup']","['Chinese', 'Seafood', 'Soup']",37.7941240989441,-122.404937406342,(415) 982-7877,4617.126365341871,ka1_lat2boQwLMsOCiwGiA,https://s3-media1.fl.yelpcdn.com/bphoto/MvC2vshFjeaY8DATKk_ZVA/o.jpg,631 Kearny St,,,San Francisco,US,CA,94108,R&G Lounge,+14159827877,$$,3.5,4232,['restaurant_reservation'],https://www.yelp.com/biz/r-and-g-lounge-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
harborview-restaurant-and-bar-san-francisco-2,"['chinese', 'lounges', 'seafood']","['Chinese', 'Lounges', 'Seafood']",37.7947539493135,-122.396224717197,(415) 399-1200,5164.073825691449,bvdEOVmFuWUV0sAALc_-zw,https://s3-media4.fl.yelpcdn.com/bphoto/P7Tc3RyRhlKOg64SeDgv1A/o.jpg,4 Embarcadero Ctr,Street Level,,San Francisco,US,CA,94111,Harborview Restaurant & Bar,+14153991200,,4.0,159,['restaurant_reservation'],https://www.yelp.com/biz/harborview-restaurant-and-bar-san-francisco-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
m-y-china-san-francisco-2,"['chinese', 'noodles']","['Chinese', 'Noodles']",37.784236,-122.406566,(415) 580-3001,3692.0663288571463,TCUfp_AdAQv-g7aD6ktEEQ,https://s3-media1.fl.yelpcdn.com/bphoto/MfD1on4bCDopxim2NBMNtg/o.jpg,845 Market St,Ste 480,,San Francisco,US,CA,94103,M Y China,+14155803001,$$,3.5,1555,['restaurant_reservation'],https://www.yelp.com/biz/m-y-china-san-francisco-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dong-bei-mama-san-francisco,['chinese'],['Chinese'],37.780473,-122.470348,(415) 221-4278,3689.984663608643,8p0z-4uwxkWLRGv89IRyOg,https://s3-media2.fl.yelpcdn.com/bphoto/TolOjgsyK_BPvq2CkIcCVQ/o.jpg,4737 Geary Blvd,,,San Francisco,US,CA,94118,Dong Bei Mama,+14152214278,$$,4.0,357,"['pickup', 'delivery']",https://www.yelp.com/biz/dong-bei-mama-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
dragon-beaux-san-francisco,"['seafood', 'dimsum', 'hotpot']","['Seafood', 'Dim Sum', 'Hot Pot']",37.7805,-122.4807,(415) 333-8899,4459.049282822134,Su1ay8vJyKsHZKQG_eluaA,https://s3-media2.fl.yelpcdn.com/bphoto/fmX3U2vlg_u60aRNVHNIqw/o.jpg,5700 Geary Blvd,,,San Francisco,US,CA,94121,Dragon Beaux,+14153338899,$$,4.0,1311,"['pickup', 'delivery', 'restaurant_reservation']",https://www.yelp.com/biz/dragon-beaux-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mister-jius-san-francisco,['chinese'],['Chinese'],37.7937724,-122.4067594,(415) 857-9688,4491.012583654824,p22TPx1EFZcuEzl2qhuzGA,https://s3-media1.fl.yelpcdn.com/bphoto/4eKHRZ1F2nbBPoGJ0xbsww/o.jpg,28 Waverly Pl,,,San Francisco,US,CA,94108,Mister Jiu's,+14158579688,$$$$,4.0,534,[],https://www.yelp.com/biz/mister-jius-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
eight-tables-by-george-chen-san-francisco,['chinese'],['Chinese'],37.7984516089432,-122.407781330184,(415) 788-8788,4861.312769649125,2FOv-XAZ2sMIlrE5xJc1Hw,https://s3-media3.fl.yelpcdn.com/bphoto/4ZymlTS6U6qdmNva10-Mkg/o.jpg,8 Kenneth Rexroth Pl,,,San Francisco,US,CA,94133,Eight Tables by George Chen,+14157888788,$$$$,4.5,84,[],https://www.yelp.com/biz/eight-tables-by-george-chen-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hong-kong-clay-pot-restaurant-san-francisco,['chinese'],['Chinese'],37.79588,-122.40649,(415) 989-2638,4696.303488339721,Sg_R67gxg9ALW2wtg13aYQ,https://s3-media4.fl.yelpcdn.com/bphoto/1tlMhNYzvrG_cI_Et5Z02A/o.jpg,960 Grant Ave,,,San Francisco,US,CA,94108,Hong Kong Clay Pot Restaurant,+14159892638,$$,4.0,830,"['pickup', 'delivery']",https://www.yelp.com/biz/hong-kong-clay-pot-restaurant-san-francisco?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hakkasan-san-francisco-2,"['newamerican', 'cantonese', 'dimsum']","['American (New)', 'Cantonese', 'Dim Sum']",37.78771,-122.40385,(415) 829-8148,4150.868369530434,dN_v0Lu6xhv0yJcx-M0fpg,https://s3-media2.fl.yelpcdn.com/bphoto/NEDgv2eNNlJ5-VhN5zu9ZA/o.jpg,1 Kearny St,,,San Francisco,US,CA,94108,Hakkasan,+14158298148,$$$,4.0,1656,[],https://www.yelp.com/biz/hakkasan-san-francisco-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
