alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
chefs-pho-and-grill-san-marcos,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",33.1292519178723,-117.165098078549,(760) 744-6789,1565.1084107700183,Bjb3E8L8qAcD6SKR2yyxHg,https://s3-media3.fl.yelpcdn.com/bphoto/QOY8OreLPyUefjiQS1e7RQ/o.jpg,324 S Twin Oaks Valley Rd,Ste 130,,San Marcos,US,CA,92078,Chef's Pho & Grill,+17607446789,$$,4.0,295,[],https://www.yelp.com/biz/chefs-pho-and-grill-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-4-queen-san-marcos,"['vietnamese', 'chinese', 'soup']","['Vietnamese', 'Chinese', 'Soup']",33.1471976,-117.1995141,(760) 471-2572,2457.589904886068,wGJJi6enDpzj1WzVsmhrug,https://s3-media3.fl.yelpcdn.com/bphoto/hvYgne1ht21MR6HSy1VSYA/o.jpg,159 S Rancho Santa Fe Rd,,,San Marcos,US,CA,92078,Pho 4 Queen,+17604712572,$,4.0,194,['pickup'],https://www.yelp.com/biz/pho-4-queen-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-truc-xanh-escondido,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",33.127895,-117.091797,(760) 489-8201,7739.235973864949,R0Zgcp0PZfOaXh-PEa9Mng,https://s3-media3.fl.yelpcdn.com/bphoto/c6UFjfcuUIGzpvzkItBotQ/o.jpg,503 W Mission Ave,,,Escondido,US,CA,92025,Pho Truc Xanh,+17604898201,$,4.5,1011,[],https://www.yelp.com/biz/pho-truc-xanh-escondido?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-san-marcos-san-marcos-2,"['vietnamese', 'sandwiches', 'soup']","['Vietnamese', 'Sandwiches', 'Soup']",33.1328075623869,-117.207942008972,(760) 599-0177,3367.4810977956445,OL3IptoQz-ONWsUFzVAZJw,https://s3-media3.fl.yelpcdn.com/bphoto/BPHgA-ZAIivTsP8zrbroBg/o.jpg,706 S Rancho Santa Fe Rd,,,San Marcos,US,CA,92078,Banh Mi San Marcos,+17605990177,$,4.0,325,[],https://www.yelp.com/biz/banh-mi-san-marcos-san-marcos-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-express-escondido,"['vietnamese', 'chinese', 'vegetarian']","['Vietnamese', 'Chinese', 'Vegetarian']",33.126807,-117.084974,(760) 746-4669,8386.649246655747,1ZflRsr-3BuNgQel1GHCQQ,https://s3-media1.fl.yelpcdn.com/bphoto/gBLX--Q607TSLMtCef5Ong/o.jpg,605 N Broadway,,,Escondido,US,CA,92025,Pho Saigon Express,+17607464669,$,4.5,708,['pickup'],https://www.yelp.com/biz/pho-saigon-express-escondido?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ever-vista-4,['vietnamese'],['Vietnamese'],33.188533782959,-117.254333496094,(760) 630-3837,9181.869012742745,wUJnAuPUjwOK-9gnhdK_nw,https://s3-media4.fl.yelpcdn.com/bphoto/6_0pLGUEThdzzAYUfXqexg/o.jpg,485 S Melrose Dr,Ste 106,,Vista,US,CA,92081,Pho-Ever,+17606303837,$,4.0,753,[],https://www.yelp.com/biz/pho-ever-vista-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-time-san-marcos-3,['vietnamese'],['Vietnamese'],33.13718,-117.1306,(760) 796-4842,4016.4360474032405,uFInrLxUkNz6hC4KqYw6Nw,https://s3-media2.fl.yelpcdn.com/bphoto/3lQWFj0pkdtiPm31_SHAXg/o.jpg,1252 E Mission Rd,,,San Marcos,US,CA,92069,Pho Time,+17607964842,$,4.5,50,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-time-san-marcos-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-san-marcos-san-marcos,['vietnamese'],['Vietnamese'],33.1328255311659,-117.207877635956,(760) 599-0973,3361.165475703192,AhZR7jf8J3-NDuP4f1HupQ,https://s3-media1.fl.yelpcdn.com/bphoto/ckxL-9slBDsWFNI2VRA_4g/o.jpg,700 S Rancho Santa Fe Rd,,,San Marcos,US,CA,92078,Pho San Marcos,+17605990973,$,3.5,322,[],https://www.yelp.com/biz/pho-san-marcos-san-marcos?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tasty-pho-vista,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",33.1866226196289,-117.224250793457,(760) 631-5900,6924.492216057111,WWjIcLS6-q5g9ceS_YRuvw,https://s3-media2.fl.yelpcdn.com/bphoto/sSgF4FbFnmYDohBfv_T_lg/o.jpg,1250 S Santa Fe Ave,Ste K,,Vista,US,CA,92084,Tasty Pho,+17606315900,$,4.5,161,[],https://www.yelp.com/biz/tasty-pho-vista?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lucky-vista,['vietnamese'],['Vietnamese'],33.163441125254,-117.219588403705,(760) 727-2738,4949.319661049066,c_LAUYCPgt9J62EH69E26g,https://s3-media2.fl.yelpcdn.com/bphoto/2xD6sohoUyYFMALLdAfzvQ/o.jpg,770 Sycamore Ave,,,Vista,US,CA,92083,Pho Lucky,+17607272738,$,4.0,335,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-lucky-vista?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
