alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-viet-san-rafael,['vietnamese'],['Vietnamese'],37.966903,-122.514713,(415) 455-8063,2454.9022203341588,JI1F0rdh6jkxKnlgSdDrwQ,https://s3-media2.fl.yelpcdn.com/bphoto/c5ehquwH-iqKc7qcbROuHQ/o.jpg,555 E Francisco Blvd,Ste 22,,San Rafael,US,CA,94901,Pho Viet,+14154558063,$$,4.0,421,['pickup'],https://www.yelp.com/biz/pho-viet-san-rafael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vn-noodle-and-grill-san-rafael,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.9700176490212,-122.518288053164,(415) 306-8299,2041.1907449673386,zmDReU_89rGBfq53ZWjnUQ,https://s3-media4.fl.yelpcdn.com/bphoto/yb2M1AAB9mlVcOMEWD23Fg/o.jpg,421 3rd St,,,San Rafael,US,CA,94901,VN Noodle & Grill,+14153068299,$$,4.0,95,[],https://www.yelp.com/biz/vn-noodle-and-grill-san-rafael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-zon-san-rafael-3,"['foodtrucks', 'vietnamese', 'asianfusion']","['Food Trucks', 'Vietnamese', 'Asian Fusion']",37.99652,-122.52798,(626) 241-4342,1047.686353117785,744jvwQRBaamOZyBegVjtg,https://s3-media3.fl.yelpcdn.com/bphoto/9LRJFrAvR1uqM2A0RvdkHA/o.jpg,76 San Pablo Ave,,,San Rafael,US,CA,94903,Banh Mi Zon,+16262414342,$,4.0,102,['pickup'],https://www.yelp.com/biz/banh-mi-zon-san-rafael-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-village-restaurant-san-rafael,"['vietnamese', 'noodles', 'vegetarian']","['Vietnamese', 'Noodles', 'Vegetarian']",37.97102,-122.52961,(415) 453-3505,1978.1211695400787,eTuHGI3mSesNREQP6B0wfg,https://s3-media2.fl.yelpcdn.com/bphoto/DJSS-5I1MZt9X-m7iNs68A/o.jpg,720 B St,,,San Rafael,US,CA,94901,Saigon Village Restaurant,+14154533505,$,3.5,271,[],https://www.yelp.com/biz/saigon-village-restaurant-san-rafael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
huong-tra-richmond,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",37.9345565159871,-122.324991782951,(510) 234-7428,18345.25390879233,9L0eNwBPsKTPioq04okg6g,https://s3-media3.fl.yelpcdn.com/bphoto/j8JGNNgmu_SfO-Tzzu2EVw/o.jpg,12221 San Pablo Ave,Ste 8,,Richmond,US,CA,94805,Huong Tra,+15102347428,$,4.0,665,[],https://www.yelp.com/biz/huong-tra-richmond?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
la-maison-de-la-reine-corte-madera,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.9273288,-122.516699,(415) 927-0288,6768.71963072818,_LChBSrY900MKB12zbCRlQ,https://s3-media2.fl.yelpcdn.com/bphoto/d3-tDbHd0Lhjnp5d1bzgkA/o.jpg,346 Corte Madera Town Ctr,,,Corte Madera,US,CA,94925,La Maison de la Reine,+14159270288,$$,3.0,234,[],https://www.yelp.com/biz/la-maison-de-la-reine-corte-madera?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
yu-shang-mandarin-restaurant-and-sushi-bar-san-rafael,"['chinese', 'japanese']","['Chinese', 'Japanese']",37.96127,-122.50199,(415) 457-9199,3504.4805714843424,R36Yl7ARbfDAzdQy3TeNdw,https://s3-media1.fl.yelpcdn.com/bphoto/mX2ust-0LoWLSyrzjzIPIA/o.jpg,180 Bellam Blvd,,,San Rafael,US,CA,94901,Yu Shang Mandarin Restaurant & Sushi Bar,+14154579199,$$,4.0,335,[],https://www.yelp.com/biz/yu-shang-mandarin-restaurant-and-sushi-bar-san-rafael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pearl-novato-4,"['bubbletea', 'vietnamese', 'poke']","['Bubble Tea', 'Vietnamese', 'Poke']",38.10408,-122.57183,(415) 761-9469,13324.424678145619,H2j4yPKCXCaS4uG-NzlbKg,https://s3-media2.fl.yelpcdn.com/bphoto/uQHCtrHOfEUvqr1Jaivdyg/o.jpg,942 Diablo Ave,,,Novato,US,CA,94947,Pearl,+14157619469,$$,4.5,73,[],https://www.yelp.com/biz/pearl-novato-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-and-coffee-san-rafael-3,"['coffee', 'sandwiches', 'hotdog']","['Coffee & Tea', 'Sandwiches', 'Hot Dogs']",37.97157,-122.51899,(415) 258-1688,1845.4772768863666,eJtzEiz3lcapFOL0C9Dxlg,https://s3-media4.fl.yelpcdn.com/bphoto/QdFw_G7ID7Bw5LkVytm7Ig/o.jpg,969 Grand Ave,,,San Rafael,US,CA,94901,Banh Mi & Coffee,+14152581688,$,4.5,10,[],https://www.yelp.com/biz/banh-mi-and-coffee-san-rafael-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
burmatown-corte-madera,"['burmese', 'asianfusion']","['Burmese', 'Asian Fusion']",37.9269335447541,-122.530881462668,(415) 945-9096,6825.727139278354,Cv423ImmdZUhtzp5SGtV9g,https://s3-media3.fl.yelpcdn.com/bphoto/NlUwlYTlcioLvlqmKxbTwg/o.jpg,60 Corte Madera Ave,,,Corte Madera,US,CA,94925,Burmatown,+14159459096,$$,4.5,470,[],https://www.yelp.com/biz/burmatown-corte-madera?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
