alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
mais-cafe-ventura-3,"['hawaiian', 'vietnamese']","['Hawaiian', 'Vietnamese']",34.278404,-119.270621,(805) 652-2061,1385.613944769463,Wii0emk1VzfVJR57h4jtOg,https://s3-media4.fl.yelpcdn.com/bphoto/JSmnJzWmB4HrdmcnVnpHGA/o.jpg,1967 E Main St,,,Ventura,US,CA,93001,Mai's Cafe,+18056522061,$$,3.5,234,"['pickup', 'delivery']",https://www.yelp.com/biz/mais-cafe-ventura-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-and-tea-ventura-2,"['vietnamese', 'bubbletea', 'juicebars']","['Vietnamese', 'Bubble Tea', 'Juice Bars & Smoothies']",34.267101,-119.248606,(805) 256-3256,3708.6997496853646,C7q2tmOjHOncPSexipxJvQ,https://s3-media1.fl.yelpcdn.com/bphoto/P6pxUeZXYmoAEXHliRTlqw/o.jpg,3301 E Main St,Ste 2560,,Ventura,US,CA,93003,Pho & Tea,+18052563256,$,3.5,47,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-and-tea-ventura-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-oxnard-oxnard,['vietnamese'],['Vietnamese'],34.2094107,-119.1945151,(805) 485-1531,11586.474352890533,4Lvcr9KOB6waMiQixDQc7Q,https://s3-media2.fl.yelpcdn.com/bphoto/G7ASQSmAGjm7TwyB_0ha6A/o.jpg,722 N Ventura Rd,,,Oxnard,US,CA,93030,Pho Oxnard,+18054851531,$,4.0,370,[],https://www.yelp.com/biz/pho-oxnard-oxnard?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
rice-by-mama-ventura,['thai'],['Thai'],34.281173,-119.294375,(805) 641-0238,823.0864805274015,bUfOheQ94KHXXCw27RFumQ,https://s3-media1.fl.yelpcdn.com/bphoto/hUIjphi9QzaXdzd5wMfGDg/o.jpg,419 E Main St,Ste A,,Ventura,US,CA,93001,Rice By Mama,+18056410238,$$,4.0,540,[],https://www.yelp.com/biz/rice-by-mama-ventura?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sea-glass-by-mama-ventura-2,"['vegetarian', 'vegan', 'gluten_free']","['Vegetarian', 'Vegan', 'Gluten-Free']",34.2812019,-119.2923212,(805) 667-8776,635.0207124326674,7rrmjpB0op7ihH4qyaVBAA,https://s3-media3.fl.yelpcdn.com/bphoto/m8AEPaj6AOOBNDHti3-nqw/o.jpg,583 E Main St,,,Ventura,US,CA,93001,Sea Glass By Mama,+18056678776,$$,4.5,79,"['pickup', 'delivery']",https://www.yelp.com/biz/sea-glass-by-mama-ventura-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
spring-garden-ventura,"['chinese', 'gluten_free', 'vegetarian']","['Chinese', 'Gluten-Free', 'Vegetarian']",34.2573323,-119.2109926,(805) 644-6688,7319.311007502114,_z6j9d5Z_yr8PobW1jHtqw,https://s3-media2.fl.yelpcdn.com/bphoto/C3KDhoH1ITeV-MXcAx7dGA/o.jpg,1795 S Victoria Ave,Ste 101A,,Ventura,US,CA,93003,Spring Garden,+18056446688,$$,4.0,172,"['pickup', 'delivery']",https://www.yelp.com/biz/spring-garden-ventura?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
toki-restaurant-ventura,"['ramen', 'vegan', 'salad']","['Ramen', 'Vegan', 'Salad']",34.2484533,-119.1957965,(805) 644-8654,8986.117018807818,W-MGKjwuXF0x6B-R_J0cjg,https://s3-media2.fl.yelpcdn.com/bphoto/u7zz4NOYAGVcdSSzRM7RFw/o.jpg,2850 Johnson Dr,Ste E,,Ventura,US,CA,93003,Toki Restaurant,+18056448654,$$,4.0,436,[],https://www.yelp.com/biz/toki-restaurant-ventura?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
urbane-cafe-ventura,"['sandwiches', 'salad', 'newamerican']","['Sandwiches', 'Salad', 'American (New)']",34.26296,-119.22565,(805) 654-1619,5832.661998335983,PeBdfFEplyEkTXOmfnEobg,https://s3-media1.fl.yelpcdn.com/bphoto/d5PsqvjvqpW65VsmxwCaXg/o.jpg,4960 Telephone Rd,,,Ventura,US,CA,93003,Urbane Cafe,+18056541619,$,4.5,319,['delivery'],https://www.yelp.com/biz/urbane-cafe-ventura?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thai-stars-thai-food-ventura-2,['thai'],['Thai'],34.24795,-119.19488,(805) 639-9599,9088.945382089387,fd1K1Q3WLXsrlUG59bc0ow,https://s3-media3.fl.yelpcdn.com/bphoto/jxBklYoBacgYAno6_eC-Pg/o.jpg,2950 Johnson Dr,Ste 129,,Ventura,US,CA,93003,Thai Stars Thai Food,+18056399599,$,3.5,149,"['pickup', 'delivery']",https://www.yelp.com/biz/thai-stars-thai-food-ventura-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
blossom-tea-house-oxnard,"['bubbletea', 'thai', 'asianfusion']","['Bubble Tea', 'Thai', 'Asian Fusion']",34.209862,-119.193889,(805) 553-8402,11529.992157440902,4mB0iehAzsoDMEVfyM_i-w,https://s3-media4.fl.yelpcdn.com/bphoto/EIdKudeE3jqJruYVAY6OYA/o.jpg,814 N Ventura Rd,,,Oxnard,US,CA,93030,Blossom Tea House,+18055538402,$,4.0,310,"['pickup', 'delivery']",https://www.yelp.com/biz/blossom-tea-house-oxnard?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
