alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
phnom-penh-noodle-shack-long-beach,"['cambodian', 'noodles']","['Cambodian', 'Noodles']",33.78789,-118.16745,(562) 433-0032,1615.2729943294678,Va5m6ZlM83r2YnUdfucvqA,https://s3-media3.fl.yelpcdn.com/bphoto/hCvSrhs0bF6NzjXYAtz34A/o.jpg,1644 Cherry Ave,,,Long Beach,US,CA,90813,Phnom Penh Noodle Shack,+15624330032,$,4.5,854,[],https://www.yelp.com/biz/phnom-penh-noodle-shack-long-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-hong-phat-long-beach,['vietnamese'],['Vietnamese'],33.7827349,-118.1537579,(562) 498-3754,2489.5694746586837,8jP9_hEjUXbzqnBQu3nIBg,https://s3-media4.fl.yelpcdn.com/bphoto/mRHf6KaT200fnPaZ5enrVg/o.jpg,3243 E Anaheim St,,,Long Beach,US,CA,90804,Pho Hong Phat,+15624983754,$,4.0,687,[],https://www.yelp.com/biz/pho-hong-phat-long-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
new-pho-long-beach,['vietnamese'],['Vietnamese'],33.7824751,-118.1798675,(562) 432-3133,2539.0192835989533,pQj3RoEXOZqQukgfIHpLEw,https://s3-media2.fl.yelpcdn.com/bphoto/nvBEPX3F9_YzhQAxVuRn-w/o.jpg,1036 E Anaheim St,,,Long Beach,US,CA,90813,New PHO,+15624323133,$,4.0,205,[],https://www.yelp.com/biz/new-pho-long-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
wok-and-pho-long-beach-12,"['chinese', 'vietnamese', 'cambodian']","['Chinese', 'Vietnamese', 'Cambodian']",33.7901609817793,-118.179923355042,(562) 247-1177,1838.6559648924194,yq8wkhJYEE-7sxpZPkJvCw,https://s3-media4.fl.yelpcdn.com/bphoto/hfkl4iGb_el_zpOqoxBgew/o.jpg,1001 E Pacific Coast Hwy,Ste 129,,Long Beach,US,CA,90804,Wok & Pho,+15622471177,$,4.5,100,[],https://www.yelp.com/biz/wok-and-pho-long-beach-12?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bite-mi-long-beach,"['vietnamese', 'asianfusion', 'coffee']","['Vietnamese', 'Asian Fusion', 'Coffee & Tea']",33.8301926,-118.1452704,(562) 420-4884,3432.2979339680483,4fgBPZXWF1MLk0qlLB7WuA,https://s3-media1.fl.yelpcdn.com/bphoto/L4g4TK5jryNQzms9MseZ8Q/o.jpg,4150 Mcgowen St,Ste 5,,Long Beach,US,CA,90808,Bite Mi,+15624204884,$$,4.0,66,[],https://www.yelp.com/biz/bite-mi-long-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
monorom-cambodian-restaurant-long-beach-3,"['cambodian', 'vietnamese', 'thai']","['Cambodian', 'Vietnamese', 'Thai']",33.7825856,-118.1656506,(562) 434-1919,2204.6618257103505,U45rccV_sPHNeqGhWwViqg,https://s3-media3.fl.yelpcdn.com/bphoto/MfsA9Fnti2SgvPPiv4nNhg/o.jpg,2150 E Anaheim St,,,Long Beach,US,CA,90804,Monorom Cambodian Restaurant,+15624341919,$,4.5,366,"['delivery', 'pickup']",https://www.yelp.com/biz/monorom-cambodian-restaurant-long-beach-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cyclo-noodles-long-beach,"['cambodian', 'vietnamese', 'noodles']","['Cambodian', 'Vietnamese', 'Noodles']",33.7866134,-118.1380857,(562) 494-1230,3124.783746283961,ZqDS35i1a7FxQqVOIPrzSA,https://s3-media2.fl.yelpcdn.com/bphoto/I5MAdwTU7VMkYz84NGXQlQ/o.jpg,4754 Pacific Coast Hwy,,,Long Beach,US,CA,90804,Cyclo Noodles,+15624941230,$,4.0,1096,[],https://www.yelp.com/biz/cyclo-noodles-long-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
123-pho-long-beach-3,"['vietnamese', 'juicebars', 'coffee']","['Vietnamese', 'Juice Bars & Smoothies', 'Coffee & Tea']",33.770345,-118.190719,(562) 552-6677,4206.645022517486,xxeC1F26GQMbzIyLEjKOGw,https://s3-media3.fl.yelpcdn.com/bphoto/IA44sAugZOO3OEoZ2SIU8Q/o.jpg,210 E 3rd St,Unit E,,Long Beach,US,CA,90802,123 Pho,+15625526677,$$,4.0,327,"['delivery', 'pickup']",https://www.yelp.com/biz/123-pho-long-beach-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mangosteen-long-beach-2,"['vietnamese', 'sandwiches', 'coffee']","['Vietnamese', 'Sandwiches', 'Coffee & Tea']",33.768906,-118.185964,(562) 495-5999,4134.191579277079,-svZIUdXGWhX7GXf_Ob6WQ,https://s3-media2.fl.yelpcdn.com/bphoto/WRhsy19pQU-dylLpoc03HA/o.jpg,510 E Broadway,,,Long Beach,US,CA,90802,Mangosteen,+15624955999,$,4.5,126,[],https://www.yelp.com/biz/mangosteen-long-beach-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-long-beach-long-beach,['vietnamese'],['Vietnamese'],33.8045849,-118.1983966,(562) 988-0900,2971.323820327126,wT27V0FWSh1mNauZSj6N0g,https://s3-media4.fl.yelpcdn.com/bphoto/WSBhppzCjr6HRv9uEQizKw/o.jpg,511 W Willow St,,,Long Beach,US,CA,90806,Pho Long Beach,+15629880900,$,3.5,317,[],https://www.yelp.com/biz/pho-long-beach-long-beach?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
q4-sandwiches-long-beach-3,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",33.7890127,-118.1933102,(562) 980-0001,2886.8458087607714,W-W-VPywBUfi7O80X1orYw,https://s3-media3.fl.yelpcdn.com/bphoto/358oENyZaTNiVwuztN8KXQ/o.jpg,1750 Pacific Ave,,,Long Beach,US,CA,90813,Q4 Sandwiches,+15629800001,,5.0,17,[],https://www.yelp.com/biz/q4-sandwiches-long-beach-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
