alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
thanh-binh-lake-forest-2,['vietnamese'],['Vietnamese'],33.6296314278452,-117.719259120901,(949) 457-1460,14862.074483966806,JwPJiWRO7OYm96GK0qFBdw,https://s3-media3.fl.yelpcdn.com/bphoto/HdFd2eh9urCV91lHf5UXNQ/o.jpg,23600 Rockfield Blvd,,,Lake Forest,US,CA,92630,Thanh Binh,+19494571460,$,4.0,559,"['pickup', 'delivery']",https://www.yelp.com/biz/thanh-binh-lake-forest-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
simply-pho-lake-forest,['vietnamese'],['Vietnamese'],33.617372,-117.705526,(949) 446-8333,15519.626712180214,7KHRY9nHbDVqkW7jV_F2Xg,https://s3-media1.fl.yelpcdn.com/bphoto/BqvpPhRQrJ72c4OGroZiUg/o.jpg,23775 El Toro Rd,,,Lake Forest,US,CA,92630,Simply Pho,+19494468333,$,4.0,438,[],https://www.yelp.com/biz/simply-pho-lake-forest?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-star-bowl-riverside,"['vietnamese', 'salad', 'sandwiches']","['Vietnamese', 'Salad', 'Sandwiches']",33.9151992797852,-117.457183837891,(951) 352-9548,25309.299445279914,DdVXvOdIzECfZF8KqvCkMg,https://s3-media1.fl.yelpcdn.com/bphoto/dZN7igUHXWzQ51JXKzb6sA/o.jpg,10051 Magnolia Ave,Ste B1,,Riverside,US,CA,92503,Pho Star Bowl,+19513529548,$,4.5,648,[],https://www.yelp.com/biz/pho-star-bowl-riverside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vn-dish-corona-3,['vietnamese'],['Vietnamese'],33.8833507150412,-117.515363395214,(951) 340-0342,19133.221896955107,xH4sUnEbkLmLpMIuUD1PTQ,https://s3-media4.fl.yelpcdn.com/bphoto/KQkexc4Phr9vJlV5pztV4w/o.jpg,127 N McKinley St,Unit 103,,Corona,US,CA,92879,VN Dish,+19513400342,$,4.5,91,[],https://www.yelp.com/biz/vn-dish-corona-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
metro-noodle-corona-14,"['vietnamese', 'noodles', 'asianfusion']","['Vietnamese', 'Noodles', 'Asian Fusion']",33.88902,-117.5641,(951) 427-3422,17402.563343652215,48sc1dweb3GZwGvv7uhI-A,https://s3-media1.fl.yelpcdn.com/bphoto/s2qJDKF5O9pjMeZqncY5Bw/o.jpg,635 N Main St,B1A,,Corona,US,CA,92880,Metro Noodle,+19514273422,$,4.5,158,"['pickup', 'delivery']",https://www.yelp.com/biz/metro-noodle-corona-14?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ba-co-irvine,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",33.6811382060949,-117.804737276721,(949) 857-8808,16870.134378711493,k8APERLHS_475vMCu4iXSw,https://s3-media1.fl.yelpcdn.com/bphoto/i1JutF96zvgIH_SPqAKARg/o.jpg,4250 Barranca Pkwy,Stes J & K,,Irvine,US,CA,92604,Pho Ba Co,+19498578808,$$,4.0,1186,[],https://www.yelp.com/biz/pho-ba-co-irvine?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
monarch-9-café-yorba-linda-2,"['french', 'vietnamese']","['French', 'Vietnamese']",33.87703,-117.73804,(714) 602-9371,17168.284082746723,1dNP0XZRFLOrtkdRsNZQHA,https://s3-media2.fl.yelpcdn.com/bphoto/FEQ6b0NN1J2XAdKEwqrtrw/o.jpg,22755 Savi Ranch Pkwy,Ste A,,Yorba Linda,US,CA,92887,Monarch 9 Café,+17146029371,$$,4.5,583,[],https://www.yelp.com/biz/monarch-9-caf%C3%A9-yorba-linda-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lee-corona,['vietnamese'],['Vietnamese'],33.893885,-117.565508,(714) 909-9661,17841.299612354414,ENhl8kmr03TZDkfqb8DVQQ,https://s3-media3.fl.yelpcdn.com/bphoto/SX71MMfreA5sqMWe69qvDA/o.jpg,776 N Main St,,,Corona,US,CA,92880,Pho Lee,+17149099661,$,4.5,227,['pickup'],https://www.yelp.com/biz/pho-lee-corona?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-ha-noi-lake-forest,['vietnamese'],['Vietnamese'],33.6177055,-117.7012663,(949) 855-4300,15334.80792815521,I16DRqLDS0yi8spXBlahmQ,https://s3-media3.fl.yelpcdn.com/bphoto/n03tNItKZGplj-gr4BlNjw/o.jpg,23624 El Toro Rd,,,Lake Forest,US,CA,92630,Pho Ha Noi,+19498554300,$,3.5,195,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-ha-noi-lake-forest?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-majestic-vietnamese-noodle-and-grill-lake-forest,"['vietnamese', 'noodles', 'bubbletea']","['Vietnamese', 'Noodles', 'Bubble Tea']",33.6469955444336,-117.68782043457,(949) 587-9898,11848.437178299395,gfksn3y_LyRawV2Uq8bijg,https://s3-media1.fl.yelpcdn.com/bphoto/x7Qooc--40tMYlTWuvdNBQ/o.jpg,21771 Lake Forest Dr,Ste 114,,Lake Forest,US,CA,92630,Pho Majestic Vietnamese Noodle & Grill,+19495879898,$,4.0,547,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-majestic-vietnamese-noodle-and-grill-lake-forest?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
