alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-so-1-simi-valley,['vietnamese'],['Vietnamese'],34.281181,-118.741397,(805) 306-1868,1140.2502781184219,NHn0bwxP9ZPzfUgZPiGnNg,https://s3-media2.fl.yelpcdn.com/bphoto/5x7AJAtVc4xhmxeqUToUZw/o.jpg,2837 Cochran St,Ste E,,Simi Valley,US,CA,93065,Pho So 1,+18053061868,$,4.5,549,[],https://www.yelp.com/biz/pho-so-1-simi-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bamboo-cafe-simi-valley,['vietnamese'],['Vietnamese'],34.2788751,-118.7414985,(805) 522-6266,1314.6024304427442,aiu0kYjnX51bSTppL-cSLA,https://s3-media4.fl.yelpcdn.com/bphoto/zUcr1__jV9iJmW7qJlt3PA/o.jpg,2792 Cochran St,,,Simi Valley,US,CA,93065,Bamboo Cafe,+18055226266,$,4.5,483,[],https://www.yelp.com/biz/bamboo-cafe-simi-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-1-chatsworth,['vietnamese'],['Vietnamese'],34.25753,-118.602,(818) 709-2066,12031.259823779681,fwYEsH4hn3xgyVC7y0dm9A,https://s3-media4.fl.yelpcdn.com/bphoto/RdYaMAYACEl-2GGLcKGQqQ/o.jpg,21701 Devonshire St,,,Chatsworth,US,CA,91311,Pho Saigon 1,+18187092066,$$,4.0,418,[],https://www.yelp.com/biz/pho-saigon-1-chatsworth?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
love-pho-cafe-thousand-oaks,['vietnamese'],['Vietnamese'],34.1814749259119,-118.924278709289,(805) 262-1881,21203.82820238342,_rWYUxwnsLC6T4CYgXGQvQ,https://s3-media3.fl.yelpcdn.com/bphoto/f-aCCuLjj-SQaaq2Y_I8hg/o.jpg,2140 Newbury Rd,Ste D,,Thousand Oaks,US,CA,91320,Love Pho Cafe,+18052621881,$$,4.5,339,[],https://www.yelp.com/biz/love-pho-cafe-thousand-oaks?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
streets-by-bistro-orient-thousand-oaks-2,"['vietnamese', 'asianfusion', 'sushi']","['Vietnamese', 'Asian Fusion', 'Sushi Bars']",34.1713919,-118.8368396,(805) 496-0800,15894.035150336422,KLOVDo_rCqR0UOFzSYwHJg,https://s3-media1.fl.yelpcdn.com/bphoto/lojXUVnzJtGEVRbWOy8Svw/o.jpg,74 N Skyline Dr,,,Thousand Oaks,US,CA,91362,Streets By Bistro Orient,+18054960800,$$,4.0,282,[],https://www.yelp.com/biz/streets-by-bistro-orient-thousand-oaks-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bun-me-northridge,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",34.2417596767091,-118.535618426056,(818) 993-0438,18383.38164021916,9GDuYICTFYT8GlrcxWB8SA,https://s3-media4.fl.yelpcdn.com/bphoto/iLM3v26t6ZrvUPmA0ctIoQ/o.jpg,9420 Reseda Blvd,Ste 5,,Northridge,US,CA,91325,Bun Me!,+18189930438,$,4.0,781,[],https://www.yelp.com/biz/bun-me-northridge?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-viet-cali-los-angeles,['vietnamese'],['Vietnamese'],34.2090231704839,-118.527589645369,(818) 757-1355,20291.474907381824,8OhP5X7-lHdbDluYqFgqUg,https://s3-media3.fl.yelpcdn.com/bphoto/xjStRmMxBXvUI7cejZt3Dg/o.jpg,18111 Saticoy St,,,Los Angeles,US,CA,91335,Pho Viet Cali,+18187571355,$,4.5,287,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-viet-cali-los-angeles?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bale-valley-restaurant-canoga-park,"['vietnamese', 'soup', 'chinese']","['Vietnamese', 'Soup', 'Chinese']",34.20177,-118.5885949,(818) 348-8578,15760.961709197782,QzKAQFecOYDln9LdOuA2iQ,https://s3-media3.fl.yelpcdn.com/bphoto/Qi3OddfsYDq9yDxJRBA1VA/o.jpg,7223 De Soto Ave,,,Canoga Park,US,CA,91303,Bale Valley Restaurant,+18183488578,$,4.0,264,[],https://www.yelp.com/biz/bale-valley-restaurant-canoga-park?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cafe-orient-chatsworth,['vietnamese'],['Vietnamese'],34.2573849,-118.5809499,(818) 486-1221,13952.792222344291,WjbAvJ3rAw8oTtFI8G702A,https://s3-media3.fl.yelpcdn.com/bphoto/CSVPXRLW0b8lwzcfSSSOWg/o.jpg,20527 Devonshire St,,,Chatsworth,US,CA,91311,Cafe Orient,+18184861221,$$,4.0,330,[],https://www.yelp.com/biz/cafe-orient-chatsworth?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thousand-wok-thousand-oaks-2,"['sushi', 'chinese', 'vietnamese']","['Sushi Bars', 'Chinese', 'Vietnamese']",34.1845481,-118.8750812,(805) 494-7788,17301.732805593485,bem_6rw8DbEPUdFktNN4Jg,https://s3-media3.fl.yelpcdn.com/bphoto/EyOoyhliKG2nffK2twvH7A/o.jpg,450 N Moorpark Rd,,,Thousand Oaks,US,CA,91360,Thousand Wok,+18054947788,$$,3.5,325,"['pickup', 'delivery']",https://www.yelp.com/biz/thousand-wok-thousand-oaks-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
