alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-vu-palm-desert,['vietnamese'],['Vietnamese'],33.8004454299575,-116.387434568842,(760) 324-1888,10478.193110853364,zrt8IM3jRzxLjAzcnwbBAA,https://s3-media1.fl.yelpcdn.com/bphoto/UM62q6SDuNxuIJVaFcXXbQ/o.jpg,34260 Monterey Ave,Ste 101,,Palm Desert,US,CA,92211,Pho Vu,+17603241888,$$,3.5,361,[],https://www.yelp.com/biz/pho-vu-palm-desert?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
533-viet-fusion-palm-springs-2,"['vietnamese', 'cocktailbars']","['Vietnamese', 'Cocktail Bars']",33.80021,-116.52736,(760) 778-6595,18981.545735851472,4GBUMGUKlsPn2BiQF1aGNA,https://s3-media2.fl.yelpcdn.com/bphoto/s5c3Dd5lgcvgVKvZJFLrDA/o.jpg,1775 E Palm Canyon Dr,Ste 625,,Palm Springs,US,CA,92264,533 Viet Fusion,+17607786595,$$,4.0,614,"['pickup', 'delivery']",https://www.yelp.com/biz/533-viet-fusion-palm-springs-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
fuzion-five-palm-springs,"['vietnamese', 'laotian']","['Vietnamese', 'Laotian']",33.8196145431414,-116.547174210232,(760) 322-6162,19616.34040214303,_IFuwmOaSHeB5IfM4nnQyw,https://s3-media2.fl.yelpcdn.com/bphoto/PZZ5Hw-8Q3GNinQiqu9gmQ/o.jpg,285 S Palm Canyon Dr,,,Palm Springs,US,CA,92262,Fuzion Five,+17603226162,$$,4.0,187,[],https://www.yelp.com/biz/fuzion-five-palm-springs?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
coachella-pho-palm-desert-2,['vietnamese'],['Vietnamese'],33.72925,-116.40278,(760) 636-0989,18481.03740606037,ClhXpYki-V0C3KP4-FXeVA,https://s3-media4.fl.yelpcdn.com/bphoto/ufW1nvycia0t6QT78ECphA/o.jpg,72286 Highway 111,Ste J5,,Palm Desert,US,CA,92260,Coachella Pho,+17606360989,,4.5,61,[],https://www.yelp.com/biz/coachella-pho-palm-desert-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
rooster-and-the-pig-palm-springs-7,"['vietnamese', 'newamerican']","['Vietnamese', 'American (New)']",33.8191136864959,-116.545017587033,(760) 832-6691,19456.50147306044,Cdm3oHjSsOy6VdDSIvNliQ,https://s3-media3.fl.yelpcdn.com/bphoto/F1hCPZjvFnrwWRtOUycuEQ/o.jpg,356 S Indian Canyon Dr,,,Palm Springs,US,CA,92262,Rooster And The Pig,+17608326691,$$,4.0,1001,[],https://www.yelp.com/biz/rooster-and-the-pig-palm-springs-7?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-na-vietnamese-cuisine-desert-hot-springs-2,['vietnamese'],['Vietnamese'],33.945280744044,-116.50060838147,(760) 288-7167,14987.999946091191,eXJW8PJRb26wUpgYjvD43w,https://s3-media1.fl.yelpcdn.com/bphoto/keJmsNedMZQxIKMkLo_Qsg/o.jpg,14220 Palm Dr,,,Desert Hot Springs,US,CA,92240,Pho Na Vietnamese Cuisine,+17602887167,$$,3.5,111,[],https://www.yelp.com/biz/pho-na-vietnamese-cuisine-desert-hot-springs-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
island-boba-sushi-and-poke-palm-desert,"['sushi', 'cafes', 'bubbletea']","['Sushi Bars', 'Cafes', 'Bubble Tea']",33.7804347,-116.355974,(760) 674-7300,12165.4576700998,Byyo9_AQQSJx0t7yIC4oEg,https://s3-media3.fl.yelpcdn.com/bphoto/dsykxfRfYQ9fztC-jHLu6A/o.jpg,36901 Cook St,,,Palm Desert,US,CA,92211,Island Boba Sushi and Poke,+17606747300,,5.0,5,[],https://www.yelp.com/biz/island-boba-sushi-and-poke-palm-desert?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bangkok-noodles-cathedral-city,"['thai', 'noodles', 'vegetarian']","['Thai', 'Noodles', 'Vegetarian']",33.788490762357,-116.459222036597,(760) 324-3533,14996.516985387298,8_yCODlIklV-YixcgGBPtA,https://s3-media4.fl.yelpcdn.com/bphoto/ZdiMjUEe5xmyevE4uQlQ_Q/o.jpg,35911 Date Palm Dr,,,Cathedral City,US,CA,92234,Bangkok Noodles,+17603243533,$$,4.0,177,['pickup'],https://www.yelp.com/biz/bangkok-noodles-cathedral-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
da-chef-noodle-bermuda-dunes-3,"['noodles', 'dimsum', 'cantonese']","['Noodles', 'Dim Sum', 'Cantonese']",33.7566995000325,-116.302561468791,(760) 200-3216,15530.00464861732,-VyqPiCmshGVgur8fPmKNw,https://s3-media2.fl.yelpcdn.com/bphoto/rqgT1nT2x3RLqfODFUuTkA/o.jpg,40100 Washington St,Ste 141,,Bermuda Dunes,US,CA,92203,Da Chef Noodle,+17602003216,$$,4.0,226,['pickup'],https://www.yelp.com/biz/da-chef-noodle-bermuda-dunes-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
le-basil-palm-desert,['thai'],['Thai'],33.7206542575441,-116.396264896252,(760) 773-1112,19269.785818147477,R-Sis6b47DlELbn6dOTR1g,https://s3-media4.fl.yelpcdn.com/bphoto/bnopENCb9ObM8iqEBNAxNw/o.jpg,72695 Hwy 111,Ste A10,,Palm Desert,US,CA,92260,Le Basil,+17607731112,$$,4.0,396,[],https://www.yelp.com/biz/le-basil-palm-desert?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
