alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
love-pho-cafe-thousand-oaks,['vietnamese'],['Vietnamese'],34.1814749259119,-118.924278709289,(805) 262-1881,23379.523387099485,_rWYUxwnsLC6T4CYgXGQvQ,https://s3-media3.fl.yelpcdn.com/bphoto/f-aCCuLjj-SQaaq2Y_I8hg/o.jpg,2140 Newbury Rd,Ste D,,Thousand Oaks,US,CA,91320,Love Pho Cafe,+18052621881,$$,4.5,339,[],https://www.yelp.com/biz/love-pho-cafe-thousand-oaks?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-so-1-simi-valley,['vietnamese'],['Vietnamese'],34.281181,-118.741397,(805) 306-1868,27327.475709485898,NHn0bwxP9ZPzfUgZPiGnNg,https://s3-media2.fl.yelpcdn.com/bphoto/5x7AJAtVc4xhmxeqUToUZw/o.jpg,2837 Cochran St,Ste E,,Simi Valley,US,CA,93065,Pho So 1,+18053061868,$,4.5,549,[],https://www.yelp.com/biz/pho-so-1-simi-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
streets-by-bistro-orient-thousand-oaks-2,"['vietnamese', 'asianfusion', 'sushi']","['Vietnamese', 'Asian Fusion', 'Sushi Bars']",34.1713919,-118.8368396,(805) 496-0800,17478.005311364137,KLOVDo_rCqR0UOFzSYwHJg,https://s3-media1.fl.yelpcdn.com/bphoto/lojXUVnzJtGEVRbWOy8Svw/o.jpg,74 N Skyline Dr,,,Thousand Oaks,US,CA,91362,Streets By Bistro Orient,+18054960800,$$,4.0,282,[],https://www.yelp.com/biz/streets-by-bistro-orient-thousand-oaks-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-dish-lawndale,['vietnamese'],['Vietnamese'],33.88797,-118.35333,(310) 676-8778,39360.837202815004,UzNleZOK6h30rDjCikT9_w,https://s3-media2.fl.yelpcdn.com/bphoto/d01vENvaNRiX0YqVnkOhYQ/o.jpg,15725 Hawthorne Blvd,Ste 108,,Lawndale,US,CA,90260,Saigon Dish,+13106768778,$,4.5,1608,[],https://www.yelp.com/biz/saigon-dish-lawndale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bamboo-cafe-simi-valley,['vietnamese'],['Vietnamese'],34.2788751,-118.7414985,(805) 522-6266,26989.146583140853,aiu0kYjnX51bSTppL-cSLA,https://s3-media4.fl.yelpcdn.com/bphoto/zUcr1__jV9iJmW7qJlt3PA/o.jpg,2792 Cochran St,,,Simi Valley,US,CA,93065,Bamboo Cafe,+18055226266,$,4.5,483,[],https://www.yelp.com/biz/bamboo-cafe-simi-valley?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mama-hongs-vietnamese-kitchen-los-angeles-8,['vietnamese'],['Vietnamese'],34.0481,-118.46312,(310) 312-7881,25693.660531760153,LoPRhufpKse8q9WoTSpBWA,https://s3-media1.fl.yelpcdn.com/bphoto/TUXAbjukVwuGZyADCG4aKA/o.jpg,11819 Wilshire Blvd,Ste 106B,,Los Angeles,US,CA,90025,Mama Hong's Vietnamese Kitchen,+13103127881,$$,4.0,834,[],https://www.yelp.com/biz/mama-hongs-vietnamese-kitchen-los-angeles-8?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
viet-noodle-bar-santa-monica-5,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",34.02676,-118.45615,(424) 299-6360,26324.203480965225,B1x_lUK_EpMmVmeWMZ9j9A,https://s3-media4.fl.yelpcdn.com/bphoto/pBAC3kl2i0R-KLas94sgAw/o.jpg,3221 Pico Blvd,,,Santa Monica,US,CA,90405,Viet Noodle Bar,+14242996360,$$,4.0,338,['pickup'],https://www.yelp.com/biz/viet-noodle-bar-santa-monica-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
basil-and-mint-camarillo,"['vietnamese', 'cocktailbars']","['Vietnamese', 'Cocktail Bars']",34.2194646,-119.0547916,(805) 482-9993,35352.909211569044,iV9bUGSe-NQjTFCFBZzlaA,https://s3-media3.fl.yelpcdn.com/bphoto/sE_J5G6q2Ney9bbedCT5TA/o.jpg,350 N Lantana St,,,Camarillo,US,CA,93010,Basil & Mint,+18054829993,$$,4.0,594,"['pickup', 'delivery']",https://www.yelp.com/biz/basil-and-mint-camarillo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
cassia-santa-monica,"['singaporean', 'vietnamese', 'seafood']","['Singaporean', 'Vietnamese', 'Seafood']",34.0198270170106,-118.493547934423,(310) 393-6699,22925.510526055703,lAfZ2bVbNcWEgnTW6mzfuA,https://s3-media4.fl.yelpcdn.com/bphoto/orA3bLg1vpePLKKZ14ctiw/o.jpg,1314 7th St,,,Santa Monica,US,CA,90401,Cassia,+13103936699,$$$,4.0,967,['delivery'],https://www.yelp.com/biz/cassia-santa-monica?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
feu-pho-kitchen-studio-city-2,"['vietnamese', 'asianfusion']","['Vietnamese', 'Asian Fusion']",34.1399813828713,-118.376292212294,(818) 423-2240,35594.14302638532,I9T_-L9KV6Nrrv_uJdl_Iw,https://s3-media3.fl.yelpcdn.com/bphoto/fdkG8Xsj7NAT0xZowuVDHA/o.jpg,11310 Ventura Blvd,,,Studio City,US,CA,91604,Feu Pho Kitchen,+18184232240,$$,4.5,450,"['pickup', 'delivery']",https://www.yelp.com/biz/feu-pho-kitchen-studio-city-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
