alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
saigon-bowl-noodle-house-stockton,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.9590440295843,-121.293098889291,(209) 451-1844,3025.79222790554,dfGgyHaGA4C32HgPtC8MKg,https://s3-media1.fl.yelpcdn.com/bphoto/LyeZXzdBs9ceoNK6FVWXfw/o.jpg,631 N Center St,,,Stockton,US,CA,95202,Saigon Bowl Noodle House,+12094511844,$,4.0,152,"['pickup', 'delivery']",https://www.yelp.com/biz/saigon-bowl-noodle-house-stockton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mamas-pho-and-sandwiches-stockton,['vietnamese'],['Vietnamese'],38.0213894979584,-121.322665700768,(209) 473-7154,4388.642310196263,pacoLXsTlHNn_AEiY7BsfA,https://s3-media3.fl.yelpcdn.com/bphoto/aEo83O2v5prnrv_UWHL_ng/o.jpg,8014 Lower Sacramento Rd,Ste E,,Stockton,US,CA,95210,Mama's Pho & Sandwiches,+12094737154,$,4.0,486,[],https://www.yelp.com/biz/mamas-pho-and-sandwiches-stockton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-9-stockton-2,"['vietnamese', 'noodles', 'chinese']","['Vietnamese', 'Noodles', 'Chinese']",37.967006,-121.294239,(209) 910-9801,2153.4489390104713,JfUJMse36KDyhMNqKc9FAA,https://s3-media2.fl.yelpcdn.com/bphoto/7KEsxDOwIZXwOqz7Zl4ypg/o.jpg,1439 N El Dorado St,Ste A,,Stockton,US,CA,95202,Noodle 9,+12099109801,$,4.0,129,[],https://www.yelp.com/biz/noodle-9-stockton-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-restaurant-stockton-18,"['vietnamese', 'noodles', 'vegetarian']","['Vietnamese', 'Noodles', 'Vegetarian']",37.970142,-121.2991904,(209) 463-2274,1697.5165683365458,X-sQ_kNHXKSvw1q2VJYH6w,https://s3-media3.fl.yelpcdn.com/bphoto/5kBbbROwNAncu-21gTEIug/o.jpg,1904 Pacific Ave,,,Stockton,US,CA,95204,Saigon Restaurant,+12094632274,$$,3.5,138,[],https://www.yelp.com/biz/saigon-restaurant-stockton-18?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thanh-thanh-sandwiches-stockton,"['vietnamese', 'sandwiches', 'juicebars']","['Vietnamese', 'Sandwiches', 'Juice Bars & Smoothies']",38.0007432324407,-121.298132767563,(209) 406-3684,1780.2956514000298,vdMqkvlKlfpFoff1rEe-bg,https://s3-media4.fl.yelpcdn.com/bphoto/3MFilbgfTwi4xnFsLYLnfQ/o.jpg,707 E March Ln,,,Stockton,US,CA,95207,Thanh Thanh Sandwiches,+12094063684,$,4.5,243,[],https://www.yelp.com/biz/thanh-thanh-sandwiches-stockton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-bay-stockton,"['vietnamese', 'noodles', 'juicebars']","['Vietnamese', 'Noodles', 'Juice Bars & Smoothies']",38.00117,-121.31607,(209) 477-5972,2182.2021780685527,rtyRXBDNVkXQ4fcFuqlFsQ,https://s3-media1.fl.yelpcdn.com/bphoto/sBsW-7YbU24C6s6GtVMG6Q/o.jpg,5756 Pacific Ave,Ste 14,,Stockton,US,CA,95207,Pho Saigon Bay,+12094775972,$,3.0,404,[],https://www.yelp.com/biz/pho-saigon-bay-stockton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lucky-noodle-house-stockton,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",38.0223523,-121.3152957,(209) 472-9301,4277.755233379007,cB89rRmI1zdIN_etLGljsA,https://s3-media3.fl.yelpcdn.com/bphoto/r8jBAdExA7FKLnEoy2OjaQ/o.jpg,8032 N El Dorado St,,,Stockton,US,CA,95210,Pho Lucky Noodle House,+12094729301,$,3.5,373,[],https://www.yelp.com/biz/pho-lucky-noodle-house-stockton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-binh-minh-stockton,['vietnamese'],['Vietnamese'],38.00475,-121.29235,(209) 477-1530,2200.296425176357,objdYQHp4--TOUTI8cMK8Q,https://s3-media1.fl.yelpcdn.com/bphoto/X6AQvxsRbIqKDKe4oSu4YA/o.jpg,1139 E March Ln,,,Stockton,US,CA,95210,Pho Binh Minh,+12094771530,$,3.5,193,[],https://www.yelp.com/biz/pho-binh-minh-stockton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mac-pho-stockton,"['vietnamese', 'vegetarian']","['Vietnamese', 'Vegetarian']",38.02058,-121.27317,(209) 477-5227,4709.663716241916,BJH6K77bXvwoygoc7snaaA,https://s3-media2.fl.yelpcdn.com/bphoto/TFexR-aJgnKYyRC1_SgCew/o.jpg,3322 E Hammer Ln,,,Stockton,US,CA,95212,Mac Pho,+12094775227,$,3.5,91,[],https://www.yelp.com/biz/mac-pho-stockton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
le-kims-vietnamese-stockton,['vietnamese'],['Vietnamese'],37.9590988,-121.2932968,,3028.9249751905177,VxbEkA42CmKiLF6fDCz1BQ,,631 N Center St,,,Stockton,US,CA,95202,Le Kims Vietnamese,,,5.0,1,[],https://www.yelp.com/biz/le-kims-vietnamese-stockton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bayon-restaurant-stockton,"['vietnamese', 'cambodian']","['Vietnamese', 'Cambodian']",37.9852180480957,-121.333656311035,(209) 956-5686,2696.039508414956,wgL9GQkk6ryNDtSlw-FHSg,https://s3-media4.fl.yelpcdn.com/bphoto/6j2a3_XOctc8LchdwyvJpg/o.jpg,2233 Grand Canal Blvd,Ste 119,,Stockton,US,CA,95207,Bayon Restaurant,+12099565686,$,3.5,115,[],https://www.yelp.com/biz/bayon-restaurant-stockton?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
king-pho-vietnamese-cuisine-manteca,['vietnamese'],['Vietnamese'],37.8050005044303,-121.216603964567,(209) 629-8719,21412.9338155032,xdgIhVvCFfb84J8LwFtcwg,https://s3-media4.fl.yelpcdn.com/bphoto/S4sdBbQo9L6OzVKgRf9ODg/o.jpg,524 N Main St,,,Manteca,US,CA,95336,King Pho Vietnamese Cuisine,+12096298719,$,4.5,78,[],https://www.yelp.com/biz/king-pho-vietnamese-cuisine-manteca?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
huong-lan-stockton-2,"['vietnamese', 'sandwiches']","['Vietnamese', 'Sandwiches']",38.02125,-121.29648,(209) 473-1111,4051.28045212545,ZYI3p-Iu1hZdbVZJ5aTp7w,https://s3-media3.fl.yelpcdn.com/bphoto/ExL45vDv5FhKQ97A0oPwsQ/o.jpg,1311 E Hammer Ln,,,Stockton,US,CA,95210,Huong Lan,+12094731111,$,3.5,105,[],https://www.yelp.com/biz/huong-lan-stockton-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
