alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
vietnam-bistro-chico-2,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.7610345,-121.8467471,(530) 433-7108,74245.41614218472,Ewo1UjwKs_EPqnMqiO6Prw,https://s3-media2.fl.yelpcdn.com/bphoto/XFbY1Vt8xwHnlnPsgqoRsA/o.jpg,788 E Ave,,,Chico,US,CA,95926,Vietnam Bistro,+15304337108,$,4.0,164,[],https://www.yelp.com/biz/vietnam-bistro-chico-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-c-and-c-chico,['vietnamese'],['Vietnamese'],39.77445,-121.84425,(530) 892-1415,75311.5276093047,ai5ueFbyZA9jQX2cxbyXZw,https://s3-media3.fl.yelpcdn.com/bphoto/072zZBs6NugpMWcNvnRBWg/o.jpg,3211 Cohasset Rd,,,Chico,US,CA,95973,Pho C&C,+15308921415,$,4.0,181,[],https://www.yelp.com/biz/pho-c-and-c-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-le-chico,['vietnamese'],['Vietnamese'],39.75702,-121.84799,(530) 487-8933,73848.4269388172,SVGTbDP0vurokmeCVoNh5A,https://s3-media2.fl.yelpcdn.com/bphoto/UhOJYEJFVB98wMUjneY-oQ/o.jpg,2201 Pillsbury Rd,,,Chico,US,CA,95926,Pho Le,+15304878933,$$,4.0,123,[],https://www.yelp.com/biz/pho-le-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
everyday-vietnamese-cuisine-chico,['vietnamese'],['Vietnamese'],39.730327,-121.858295,(530) 893-2888,71484.97353600578,A91mSYTFcX-wBWNyhrvV-Q,https://s3-media3.fl.yelpcdn.com/bphoto/u3uIyS_nZEoY0m7xAaXn6Q/o.jpg,951 Nord Ave,Ste A,,Chico,US,CA,95926,Everyday Vietnamese Cuisine,+15308932888,$,4.0,128,[],https://www.yelp.com/biz/everyday-vietnamese-cuisine-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ks-tian-yuen-restaurant-cloverdale,"['chinese', 'japanese', 'sushi']","['Chinese', 'Japanese', 'Sushi Bars']",38.800350189209,-123.017036437988,(707) 894-5697,75105.77771221807,GT3BntVo-Ves8ZywrmHTkg,https://s3-media2.fl.yelpcdn.com/bphoto/ZUxipGvTbNL8-D-xviIPhA/o.jpg,421 S Cloverdale Blvd,,,Cloverdale,US,CA,95425,KS Tian Yuen Restaurant,+17078945697,$$,4.0,117,['pickup'],https://www.yelp.com/biz/ks-tian-yuen-restaurant-cloverdale?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-house-chico,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",39.7341690063477,-121.836296081543,(530) 345-2022,73280.93167145067,mfVEHbjbVX6f0_WycwkUGg,https://s3-media3.fl.yelpcdn.com/bphoto/zdqb5CxAkSD-iL_L-pxuJw/o.jpg,605 Mangrove Ave,Ste 130,,Chico,US,CA,95926,Noodle House,+15303452022,$,3.0,98,[],https://www.yelp.com/biz/noodle-house-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saltea-orland,"['juicebars', 'coffee', 'sandwiches']","['Juice Bars & Smoothies', 'Coffee & Tea', 'Sandwiches']",39.74721,-122.19369,(530) 988-3181,51838.6666783789,LHuYdEBCbG5m5GU_hXgP_g,https://s3-media1.fl.yelpcdn.com/bphoto/0Taa-E8aDZnMGTifG7gBHA/o.jpg,701 4th St,,,Orland,US,CA,95963,Saltea,+15309883181,$,4.5,47,[],https://www.yelp.com/biz/saltea-orland?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
taste-of-hmong-chico-2,['asianfusion'],['Asian Fusion'],39.73144,-121.85895,(530) 965-5071,71530.39219758376,Nei1W-ULNvXlvfD7BUDJsA,https://s3-media2.fl.yelpcdn.com/bphoto/yGaYn1d1pbuecLYVtoJqwg/o.jpg,1008 W Sacramento Ave,Ste H,,Chico,US,CA,95926,Taste Of Hmong,+15309655071,,4.5,22,[],https://www.yelp.com/biz/taste-of-hmong-chico-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
crispy-eggroll-chico,"['vietnamese', 'soup', 'asianfusion']","['Vietnamese', 'Soup', 'Asian Fusion']",39.7145780716387,-121.806910737354,(530) 354-8155,74257.0050884817,mDdTI_8GDhB4V4KwrzI4cQ,https://s3-media3.fl.yelpcdn.com/bphoto/YK6rNZF237crK6NuDLu3iw/o.jpg,2501 S Whitman Pl,,,Chico,US,CA,95928,crispy eggroll,+15303548155,,5.0,1,[],https://www.yelp.com/biz/crispy-eggroll-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-kitchen-brooks,['asianfusion'],['Asian Fusion'],38.7353248596191,-122.140884399414,(530) 796-3118,78810.47271539982,GLxxQvJoUjvWSkEUpUfVlg,https://s3-media1.fl.yelpcdn.com/bphoto/8yp2eGkzSfgqAqgS67gr5A/o.jpg,14455 Hwy 16,,,Brooks,US,CA,95606,Asian Kitchen,+15307963118,$,3.0,23,[],https://www.yelp.com/biz/asian-kitchen-brooks?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
