alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-phuong-nine-restaurant-fresno,['vietnamese'],['Vietnamese'],36.73709,-119.73155,(559) 454-1762,3592.3280055659784,jhZ1jvsFMNBps67Dv81xDg,https://s3-media3.fl.yelpcdn.com/bphoto/yw1KjP4oKAM9cqyLsGoBDw/o.jpg,4903 E Kings Canyon Rd,Ste 107,,Fresno,US,CA,93727,Pho Phuong Nine Restaurant,+15594541762,$,4.0,165,[],https://www.yelp.com/biz/pho-phuong-nine-restaurant-fresno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-delite-clovis,['vietnamese'],['Vietnamese'],36.80943,-119.71747,(559) 322-8688,5692.674405626884,XkrnBmg0LMqdzD2uMcAMdg,https://s3-media1.fl.yelpcdn.com/bphoto/W3L8F80dFcEF_IVCQ-_E5g/o.jpg,393 W Shaw Ave,Ste A14,,Clovis,US,CA,93612,Pho Delite,+15593228688,$,4.0,239,[],https://www.yelp.com/biz/pho-delite-clovis?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
huong-lan-pho-and-sandwiches-fresno-2,['vietnamese'],['Vietnamese'],36.7377760792984,-119.696696698666,(559) 251-5000,2465.821503520983,iH4VvDDVdPR96Dif3mvv7Q,https://s3-media3.fl.yelpcdn.com/bphoto/TBlhUqnZkRRuPxATORqMRA/o.jpg,5669 E Kings Canyon Rd,Ste 102,,Fresno,US,CA,93727,Huong Lan Pho & Sandwiches,+15592515000,$,3.5,136,[],https://www.yelp.com/biz/huong-lan-pho-and-sandwiches-fresno-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-2006-clovis,['vietnamese'],['Vietnamese'],36.8133511,-119.7012152,(559) 322-8922,5988.093333610621,AUeUStvQTE8-UBUW0siHWQ,https://s3-media4.fl.yelpcdn.com/bphoto/pv1Rsp1BPbMKTd-bzdmcEw/o.jpg,1468 Clovis Ave,,,Clovis,US,CA,93612,Pho 2006,+15593228922,$,4.0,252,[],https://www.yelp.com/biz/pho-2006-clovis?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
huong-lan-sandwiches-fresno,['vietnamese'],['Vietnamese'],36.8074801604157,-119.781784934546,(559) 221-8000,8869.048267630176,vrVVOcZ9RzVNgAjhl1-cjw,https://s3-media4.fl.yelpcdn.com/bphoto/9oOTEcpohZeoEzu9LzceRA/o.jpg,4965 N Fresno St,,,Fresno,US,CA,93726,Huong Lan Sandwiches,+15592218000,$,3.5,470,[],https://www.yelp.com/biz/huong-lan-sandwiches-fresno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-fresno-fresno,['vietnamese'],['Vietnamese'],36.778806866027,-119.800363406539,(559) 229-9879,9001.13639401822,48bsok70ZzYhcPyKVCtzvw,https://s3-media1.fl.yelpcdn.com/bphoto/BXGUbVfWFKHkQ9fwJeoJ9g/o.jpg,3111 N Maroa Ave,,,Fresno,US,CA,93704,PHO FRESNO,+15592299879,$,4.5,99,"['pickup', 'delivery']",https://www.yelp.com/biz/pho-fresno-fresno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sweet-mango-mart-and-deli-fresno-2,"['vietnamese', 'thai']","['Vietnamese', 'Thai']",36.75889,-119.7723,(559) 515-6889,6223.151856924648,5allUwDDWvYeZmkCEttXnw,https://s3-media1.fl.yelpcdn.com/bphoto/A1Iq0couMDJJ6_3L7Udopw/o.jpg,1244 N First St,,,Fresno,US,CA,93703,Sweet Mango Mart & Deli,+15595156889,,4.5,20,[],https://www.yelp.com/biz/sweet-mango-mart-and-deli-fresno-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
basil-bistro-fresno,"['vietnamese', 'sandwiches', 'soup']","['Vietnamese', 'Sandwiches', 'Soup']",36.77188,-119.78193,(559) 225-7990,7225.969045162506,MRf5tWpm3wpZSgZ17HMivA,https://s3-media2.fl.yelpcdn.com/bphoto/a1hwHMf9jBljbJkXAdleNQ/o.jpg,2327 N Fresno St,Ste 102,,Fresno,US,CA,93703,Basil Bistro,+15592257990,,4.0,36,[],https://www.yelp.com/biz/basil-bistro-fresno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-89-fresno-2,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",36.83642578125,-119.75511932373,(559) 345-4789,9825.160267090105,zwXiEA94LmdERurFf1m5Wg,https://s3-media3.fl.yelpcdn.com/bphoto/4fjYLbq3XpSJuUE_1KGQ3w/o.jpg,6769 N Cedar Ave,,,Fresno,US,CA,93710,Pho 89,+15593454789,$,3.5,118,[],https://www.yelp.com/biz/pho-89-fresno-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lao-vieng-fresno-3,"['vietnamese', 'laotian', 'thai']","['Vietnamese', 'Laotian', 'Thai']",36.75801,-119.73771,(559) 389-0025,3176.7527618404233,NrPbkVLqozxr1khTNvnPEQ,https://s3-media2.fl.yelpcdn.com/bphoto/Zp5pwFHHQB64cf65pRv9yQ/o.jpg,4767 E Olive Ave,,,Fresno,US,CA,93702,Pho Lao Vieng,+15593890025,$,3.5,57,[],https://www.yelp.com/biz/pho-lao-vieng-fresno-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lotus-kitchen-fresno-2,"['seafood', 'laotian', 'thai']","['Seafood', 'Laotian', 'Thai']",36.7619,-119.75423,(559) 374-5200,4592.919014430898,g3H7MFSUydHJsphkOYgKOA,https://s3-media2.fl.yelpcdn.com/bphoto/dH22VxDHnlmsapTih3Xfqw/o.jpg,1432 N Cedar Ave,Ste 106,,Fresno,US,CA,93703,Lotus Kitchen,+15593745200,$$$,4.0,53,"['pickup', 'delivery']",https://www.yelp.com/biz/lotus-kitchen-fresno-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-garden-fresno,['vietnamese'],['Vietnamese'],36.762123,-119.753906,(559) 251-7949,4592.919014430898,RhewwUMiRcBUGYC1X49hpA,https://s3-media4.fl.yelpcdn.com/bphoto/Qy-5emoNUMkGouSgj9GnsQ/o.jpg,1432 N Cedar Ave,,,Fresno,US,CA,93703,Saigon Garden,+15592517949,$,3.0,43,[],https://www.yelp.com/biz/saigon-garden-fresno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
