alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-viet-san-rafael,['vietnamese'],['Vietnamese'],37.966903,-122.514713,(415) 455-8063,7098.269157854299,JI1F0rdh6jkxKnlgSdDrwQ,https://s3-media2.fl.yelpcdn.com/bphoto/c5ehquwH-iqKc7qcbROuHQ/o.jpg,555 E Francisco Blvd,Ste 22,,San Rafael,US,CA,94901,Pho Viet,+14154558063,$$,4.0,421,['pickup'],https://www.yelp.com/biz/pho-viet-san-rafael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
vn-noodle-and-grill-san-rafael,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.9700176490212,-122.518288053164,(415) 306-8299,6668.548767500182,zmDReU_89rGBfq53ZWjnUQ,https://s3-media4.fl.yelpcdn.com/bphoto/yb2M1AAB9mlVcOMEWD23Fg/o.jpg,421 3rd St,,,San Rafael,US,CA,94901,VN Noodle & Grill,+14153068299,$$,4.0,95,[],https://www.yelp.com/biz/vn-noodle-and-grill-san-rafael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-zon-san-rafael-3,"['foodtrucks', 'vietnamese', 'asianfusion']","['Food Trucks', 'Vietnamese', 'Asian Fusion']",37.99652,-122.52798,(626) 241-4342,3602.343297482124,744jvwQRBaamOZyBegVjtg,https://s3-media3.fl.yelpcdn.com/bphoto/9LRJFrAvR1uqM2A0RvdkHA/o.jpg,76 San Pablo Ave,,,San Rafael,US,CA,94903,Banh Mi Zon,+16262414342,$,4.0,102,['pickup'],https://www.yelp.com/biz/banh-mi-zon-san-rafael-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-village-restaurant-san-rafael,"['vietnamese', 'noodles', 'vegetarian']","['Vietnamese', 'Noodles', 'Vegetarian']",37.97102,-122.52961,(415) 453-3505,6317.317051983917,eTuHGI3mSesNREQP6B0wfg,https://s3-media2.fl.yelpcdn.com/bphoto/DJSS-5I1MZt9X-m7iNs68A/o.jpg,720 B St,,,San Rafael,US,CA,94901,Saigon Village Restaurant,+14154533505,$,3.5,271,[],https://www.yelp.com/biz/saigon-village-restaurant-san-rafael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pearl-novato-4,"['bubbletea', 'vietnamese', 'poke']","['Bubble Tea', 'Vietnamese', 'Poke']",38.10408,-122.57183,(415) 761-9469,8687.042863593004,H2j4yPKCXCaS4uG-NzlbKg,https://s3-media2.fl.yelpcdn.com/bphoto/uQHCtrHOfEUvqr1Jaivdyg/o.jpg,942 Diablo Ave,,,Novato,US,CA,94947,Pearl,+14157619469,$$,4.5,73,[],https://www.yelp.com/biz/pearl-novato-4?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
la-maison-de-la-reine-corte-madera,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.9273288,-122.516699,(415) 927-0288,11300.958530573373,_LChBSrY900MKB12zbCRlQ,https://s3-media2.fl.yelpcdn.com/bphoto/d3-tDbHd0Lhjnp5d1bzgkA/o.jpg,346 Corte Madera Town Ctr,,,Corte Madera,US,CA,94925,La Maison de la Reine,+14159270288,$$,3.0,234,[],https://www.yelp.com/biz/la-maison-de-la-reine-corte-madera?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
anh-restaurant-and-bar-richmond-2,"['vietnamese', 'bars', 'salad']","['Vietnamese', 'Bars', 'Salad']",37.9152758870656,-122.349639144616,(510) 680-5292,20846.5054596834,gQ3Z7Iw6dyC5NF8vRzJA4A,https://s3-media4.fl.yelpcdn.com/bphoto/Ks9MTqFVobLXK2CI366pNQ/o.jpg,1950 Esplanade Dr,,,Richmond,US,CA,94804,Anh Restaurant & Bar,+15106805292,$$,4.0,193,[],https://www.yelp.com/biz/anh-restaurant-and-bar-richmond-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
burmatown-corte-madera,"['burmese', 'asianfusion']","['Burmese', 'Asian Fusion']",37.9269335447541,-122.530881462668,(415) 945-9096,11165.915334167996,Cv423ImmdZUhtzp5SGtV9g,https://s3-media3.fl.yelpcdn.com/bphoto/NlUwlYTlcioLvlqmKxbTwg/o.jpg,60 Corte Madera Ave,,,Corte Madera,US,CA,94925,Burmatown,+14159459096,$$,4.5,470,[],https://www.yelp.com/biz/burmatown-corte-madera?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chang-thai-thai-and-vietnamese-cuisines-san-pablo,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",37.9588,-122.34715,(510) 235-9999,18689.910008954314,szhevxpkv7zvqLKOoD-90g,https://s3-media2.fl.yelpcdn.com/bphoto/CBRSk2OukSNa9L4DsE6n_A/o.jpg,2229 Dover Ave,,,San Pablo,US,CA,94806,Chang Thai - Thai and Vietnamese Cuisines,+15102359999,$,4.0,131,"['pickup', 'delivery']",https://www.yelp.com/biz/chang-thai-thai-and-vietnamese-cuisines-san-pablo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-and-coffee-san-rafael-3,"['coffee', 'sandwiches', 'hotdog']","['Coffee & Tea', 'Sandwiches', 'Hot Dogs']",37.97157,-122.51899,(415) 258-1688,6471.29775805274,eJtzEiz3lcapFOL0C9Dxlg,https://s3-media4.fl.yelpcdn.com/bphoto/QdFw_G7ID7Bw5LkVytm7Ig/o.jpg,969 Grand Ave,,,San Rafael,US,CA,94901,Banh Mi & Coffee,+14152581688,$,4.5,10,[],https://www.yelp.com/biz/banh-mi-and-coffee-san-rafael-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
