alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
999-pho-reno,['vietnamese'],['Vietnamese'],39.5017094,-119.7892349,(775) 686-6599,38113.968917589875,_KlEMZvay1c9xYctKFtN-w,https://s3-media4.fl.yelpcdn.com/bphoto/2etkxq1Yj6ufN7XCKDjBHw/o.jpg,2309 Kietzke Ln,,,Reno,US,NV,89502,999 Pho,+17756866599,$,4.0,387,[],https://www.yelp.com/biz/999-pho-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
sf-kitchen-reno,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.5226122064588,-119.789569528068,(775) 786-7747,39251.310090345796,11zDCUJyST50gMR4xVeAhg,https://s3-media3.fl.yelpcdn.com/bphoto/v1_QACcIlyoPL7sm-4rm5w/o.jpg,1775 Mill St,,,Reno,US,NV,89502,SF Kitchen,+17757867747,$$,4.5,192,[],https://www.yelp.com/biz/sf-kitchen-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-777-vietnamese-noodle-restaurant-reno,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",39.5270138390296,-119.811528868935,(775) 323-7777,37863.79296075699,ksFVaF5TatgsVGXk7Yyw9A,https://s3-media3.fl.yelpcdn.com/bphoto/4DXUFB3Gs0nvHKsEgZEsDA/o.jpg,201 E 2nd St,,,Reno,US,NV,89501,Pho 777 Vietnamese Noodle Restaurant,+17753237777,$,3.5,538,[],https://www.yelp.com/biz/pho-777-vietnamese-noodle-restaurant-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-kietzke-reno-2,['vietnamese'],['Vietnamese'],39.49591,-119.78882,(775) 870-9488,37976.254211448504,yatKUn6nlBp3HA0KBFV_PQ,https://s3-media1.fl.yelpcdn.com/bphoto/UwLbXKcig2b0OdQaVCygCw/o.jpg,3004 Kietzke Ln,,,Reno,US,NV,89502,Pho  Kietzke,+17758709488,$,4.0,200,[],https://www.yelp.com/biz/pho-kietzke-reno-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
golden-flower-vietnamese-reno,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.5308981179466,-119.81770992279,(775) 323-1628,37637.17362368265,_NozEKb4y0jkC08DWU8ywA,https://s3-media2.fl.yelpcdn.com/bphoto/EUUmveLqpuF7EEpn_lgbPA/o.jpg,205 W 5th St,,,Reno,US,NV,89503,Golden Flower Vietnamese,+17753231628,$,3.0,869,[],https://www.yelp.com/biz/golden-flower-vietnamese-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chopsticks-incline-village,['asianfusion'],['Asian Fusion'],39.240906,-119.94018,(775) 833-3663,24674.212947773027,bPVhzNIhts8VbFX-bZ2ATw,https://s3-media4.fl.yelpcdn.com/bphoto/o_QvLqhz8T97ft72C7b3LQ/o.jpg,120 Country Club Dr,Ste 62,,Incline Village,US,NV,89451,Chopsticks,+17758333663,$$,4.0,107,[],https://www.yelp.com/biz/chopsticks-incline-village?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-cali-reno,"['vietnamese', 'chinese', 'sandwiches']","['Vietnamese', 'Chinese', 'Sandwiches']",39.530928900684,-119.814399727904,(775) 470-8272,37880.11655782522,wY-cop0m6jEibSZdlSU10Q,https://s3-media4.fl.yelpcdn.com/bphoto/d_mluu8ugvUxBnwJqeT2Nw/o.jpg,440 N Virginia St,Ste C,,Reno,US,NV,89501,Pho Cali,+17754708272,$,3.5,96,[],https://www.yelp.com/biz/pho-cali-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
clay-oven-incline-village-5,"['indpak', 'vietnamese', 'chinese']","['Indian', 'Vietnamese', 'Chinese']",39.250403,-119.954695,(775) 831-8317,23066.349644806123,RqyKFOcTPvdaxP7XmOmYZA,https://s3-media3.fl.yelpcdn.com/bphoto/4sHQwZ5LFcGV8Gz07_uUxg/o.jpg,868 Tahoe Blvd,Ste 18-19,,Incline Village,US,NV,89451,Clay Oven,+17758318317,$$,3.0,61,['pickup'],https://www.yelp.com/biz/clay-oven-incline-village-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
viet-pho-reno-reno,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",39.49299,-119.79273,(775) 329-8889,37534.71135932112,XfMCT_X3JSdhxboAXVeQ7Q,https://s3-media3.fl.yelpcdn.com/bphoto/Ub1hl2ynGTMXsuCAj295pg/o.jpg,315 E Moana Ln,,,Reno,US,NV,89502,Viet Pho - Reno,+17753298889,$$,3.0,92,"['delivery', 'pickup']",https://www.yelp.com/biz/viet-pho-reno-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
silver-chopsticks-reno,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.535435,-119.862883,(775) 424-2121,34707.00203827626,VGN37glLit5oxbHIZ837Ag,https://s3-media4.fl.yelpcdn.com/bphoto/IcgKj2e0xjF6B-pH-rDLUQ/o.jpg,10580 N McCarran Blvd,Ste 108,,Reno,US,NV,89503,Silver Chopsticks,+17754242121,$,3.5,147,[],https://www.yelp.com/biz/silver-chopsticks-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-noodles-reno,"['chinese', 'vietnamese', 'noodles']","['Chinese', 'Vietnamese', 'Noodles']",39.5045891310136,-119.783507734537,(775) 828-7227,38788.52454199522,OrE8LhQpKVXTA6gJyu5G9Q,https://s3-media1.fl.yelpcdn.com/bphoto/D9nkLGcmpAm6AXv1U3rgeg/o.jpg,1290 E Plumb Ln,Ste 1,,Reno,US,NV,89502,Asian Noodles,+17758287227,$,3.5,311,[],https://www.yelp.com/biz/asian-noodles-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
moo-dang-reno-3,"['thai', 'soup', 'noodles']","['Thai', 'Soup', 'Noodles']",39.5087006088475,-119.805495232094,(775) 420-4267,37313.59128439334,ivD5l1I3a146ZDGIfr6HYA,https://s3-media4.fl.yelpcdn.com/bphoto/kSUnwBKcZS8YQSkOOFXcTw/o.jpg,1565 S Virginia St,,,Reno,US,NV,89502,Moo Dang,+17754204267,$$,4.5,437,[],https://www.yelp.com/biz/moo-dang-reno-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
crawfish-asian-cuisine-reno,"['chinese', 'seafood', 'asianfusion']","['Chinese', 'Seafood', 'Asian Fusion']",39.5051249,-119.7821,(775) 622-6802,38923.1929240248,f8ss-XDpkdwwbQf0-V6JCA,https://s3-media4.fl.yelpcdn.com/bphoto/KidbiV2B-vglMunekCK7Rw/o.jpg,1296 E Plumb Ln,Ste H,,Reno,US,NV,89502,Crawfish Asian Cuisine,+17756226802,$$,4.5,540,[],https://www.yelp.com/biz/crawfish-asian-cuisine-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-mein-reno,"['vietnamese', 'asianfusion', 'chinese']","['Vietnamese', 'Asian Fusion', 'Chinese']",39.529723,-119.8143881,(775) 786-5700,37810.595711745045,RvIlsB_kQBqCkTjdmIMDUw,https://s3-media3.fl.yelpcdn.com/bphoto/TGHNjqUeaLyRj2gh2g66sg/o.jpg,345 N Virginia St,,,Reno,US,NV,89501,Pho Mein,+17757865700,$$,3.5,185,[],https://www.yelp.com/biz/pho-mein-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-reno,['vietnamese'],['Vietnamese'],39.46517,-119.78119,(775) 852-6100,37276.86549071592,tR9azg_Dx8EfV1CBvllVUQ,https://s3-media1.fl.yelpcdn.com/bphoto/2dxuZ6b8gGyM5ecSisUtoQ/o.jpg,6775 Sierra Center Pkwy,Ste 600,,Reno,US,NV,89511,Pho,+17758526100,$,3.5,284,[],https://www.yelp.com/biz/pho-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
101-taiwanese-cuisine-reno,"['chinese', 'taiwanese', 'bubbletea']","['Chinese', 'Taiwanese', 'Bubble Tea']",39.5298674133371,-119.820172809245,(775) 657-6144,37397.305696049625,mcr1lAEdvGLMJhuPwI3I2A,https://s3-media2.fl.yelpcdn.com/bphoto/mjW_q8YAqWtO3TxSyf66xA/o.jpg,400 W 5th St,Ste 104,,Reno,US,NV,89503,101 Taiwanese Cuisine,+17756576144,$$,4.0,884,"['delivery', 'pickup']",https://www.yelp.com/biz/101-taiwanese-cuisine-reno?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
1-2-tea-reno-2,['bubbletea'],['Bubble Tea'],39.5155994981143,-119.827501883087,(510) 919-9523,36037.82576657357,qKvQzhukpomdY3ITSSJ5eg,https://s3-media2.fl.yelpcdn.com/bphoto/lW6d0-tFNLT5DVemqKeeug/o.jpg,655 Booth St,,,Reno,US,NV,89509,"1, 2, TEA",+15109199523,$,4.5,116,[],https://www.yelp.com/biz/1-2-tea-reno-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tealeaf-cafe-reno-2,"['bubbletea', 'cafes']","['Bubble Tea', 'Cafes']",39.4652229024005,-119.781204331627,(775) 686-6116,37266.84347731261,6SYG6M05gIwaj3doas6X9Q,https://s3-media3.fl.yelpcdn.com/bphoto/jv2Dw2sqZzq_guysd7ihLA/o.jpg,6775 Sierra Center Pkwy,Ste 200,,Reno,US,NV,89511,Tealeaf Cafe,+17756866116,$,4.0,63,[],https://www.yelp.com/biz/tealeaf-cafe-reno-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
