alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
bao-sandwich-bar-waterloo,"['vietnamese', 'sandwiches', 'asianfusion']","['Vietnamese', 'Sandwiches', 'Asian Fusion']",43.47646,-80.52987,+1 519-208-1226,406.77458512474504,e3TNG60pbSm2p0fjBiPXUA,https://s3-media4.fl.yelpcdn.com/bphoto/0TJIU-sYFbsmL3az9TB7IQ/o.jpg,62 Balsam Street,Unit 106,,Waterloo,CA,ON,N2L 3H2,Bao Sandwich Bar,+15192081226,$,4.5,229,[],https://www.yelp.com/biz/bao-sandwich-bar-waterloo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-dau-bo-kitchener,['vietnamese'],['Vietnamese'],43.4474811155984,-80.4841835298189,+1 519-568-8904,4949.3929995966655,yoPhGOboGuj9svBwWp3gOA,https://s3-media3.fl.yelpcdn.com/bphoto/SY3npfGQMLyRk9ewFRkH8g/o.jpg,301 King Street E,,,Kitchener,CA,ON,N2G 2L2,Pho Dau Bo,+15195688904,$,4.0,65,[],https://www.yelp.com/biz/pho-dau-bo-kitchener?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mimo-thai-kitchen-waterloo,['thai'],['Thai'],43.4786551003049,-80.5263750627637,+1 226-647-8866,91.29208806225539,0fgu2AYCjt037Hmd0jW9qw,https://s3-media2.fl.yelpcdn.com/bphoto/BdeXvdV3wm84SwUiuDGctA/o.jpg,104 - 318 Spruce Street,,,Waterloo,CA,ON,N2L 0E9,Mimo Thai Kitchen,+12266478866,,4.5,14,[],https://www.yelp.com/biz/mimo-thai-kitchen-waterloo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ben-thanh-waterloo,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",43.50346853689,-80.5316252466965,+1 519-880-9788,2710.5507940419384,S6IK4KdWCnWeQt-_9CKTIQ,https://s3-media2.fl.yelpcdn.com/bphoto/9qtyzqggQPwpasMdqszVXA/o.jpg,36 Northfield Drive E,Unit 1,,Waterloo,CA,ON,N2L 6A1,Ben Thanh,+15198809788,$$,3.0,116,[],https://www.yelp.com/biz/ben-thanh-waterloo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-vietnam-k-and-w-kitchener,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",43.4471416904704,-80.4834968150243,+1 519-804-6738,5015.144636567006,VRrtFTcUXTCRqfoV1_dDeg,https://s3-media4.fl.yelpcdn.com/bphoto/SbcaStP_bBRyYdC4d7UAKw/o.jpg,357 King Street E,Unit 101,,Kitchener,CA,ON,N2H 2V5,Pho Vietnam K&W,+15198046738,,5.0,3,[],https://www.yelp.com/biz/pho-vietnam-k-and-w-kitchener?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-sunrise-kitchener,"['vietnamese', 'thai']","['Vietnamese', 'Thai']",43.4158067,-80.5163735,+1 519-579-2016,7114.648919998097,vS556gfCFj6Uge3bL0lBTw,https://s3-media1.fl.yelpcdn.com/bphoto/MyIfqQtLIJzQM3Oini1K7A/o.jpg,1400 Ottawa Street S,Unit B22,,Kitchener,CA,ON,N2E 4E2,Pho Sunrise,+15195792016,$,4.5,12,[],https://www.yelp.com/biz/pho-sunrise-kitchener?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-tran-kitchener-2,"['vietnamese', 'thai']","['Vietnamese', 'Thai']",43.4619596933413,-80.4688529669063,+1 519-744-6066,5076.737063385981,eDalLSJIOP1muSNrMawVvQ,https://s3-media3.fl.yelpcdn.com/bphoto/bFORgPwezfEpdrR7rlazkw/o.jpg,809 Victoria Street N,,,Kitchener,CA,ON,N2B 1Y4,Pho Tran,+15197446066,$$,4.0,9,[],https://www.yelp.com/biz/pho-tran-kitchener-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ben-thanh-waterloo-2,"['thai', 'vietnamese']","['Thai', 'Vietnamese']",43.4742473149332,-80.5358275026083,+1 519-880-9788,906.1428356427292,YfFrzwpAlkqlhkPP-gdfHg,https://s3-media3.fl.yelpcdn.com/bphoto/KVW-7AY6o3O6U22LcCQj_g/o.jpg,36 Northfield Drive E,,,Waterloo,CA,ON,N2V 2G2,Ben Thanh,+15198809788,$$,2.0,19,[],https://www.yelp.com/biz/ben-thanh-waterloo-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-dnk-vietnamese-restaurant-kitchener,['vietnamese'],['Vietnamese'],43.4508297,-80.4918441,+1 519-579-5226,4254.849218756745,7TwfOPLfBBZEHAoYrPaZEA,https://s3-media2.fl.yelpcdn.com/bphoto/suLdcnoZBqH00OHJTEmlOA/o.jpg,151 King Street W,,,Kitchener,CA,ON,N2G 1A7,Pho DNK Vietnamese Restaurant,+15195795226,$,4.0,12,[],https://www.yelp.com/biz/pho-dnk-vietnamese-restaurant-kitchener?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
red-ginger-modern-thai-and-viet-cuisine-kitchener,['thai'],['Thai'],43.4361617,-80.5135767,+1 519-954-8088,4920.462413769804,cP4mclElUlizyf2mqsIkwA,https://s3-media4.fl.yelpcdn.com/bphoto/TDgFRK6HtY4vnj6tmFfKTQ/o.jpg,465 Highland Road W,Unit 4,,Kitchener,CA,ON,N2M 5J9,Red Ginger Modern Thai & Viet cuisine,+15199548088,$$,4.0,23,[],https://www.yelp.com/biz/red-ginger-modern-thai-and-viet-cuisine-kitchener?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
