alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
tran-noodle-watsonville,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",36.917964301336,-121.78253460555,(831) 763-7696,1637.7033763574896,_0YZLbjmahV1F98rRW1tlQ,https://s3-media1.fl.yelpcdn.com/bphoto/mPUMDFRCjMwRT2VCxA51-A/o.jpg,1983 Main St,,,Watsonville,US,CA,95076,Tran Noodle,+18317637696,$,3.0,177,[],https://www.yelp.com/biz/tran-noodle-watsonville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-express-capitola-2,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",36.97784,-121.96693,(831) 476-9999,17939.001413646634,tapqxINHZ-G_aGz6G7YKTg,https://s3-media1.fl.yelpcdn.com/bphoto/exbAjCuHu5ItMMBy88rjiQ/o.jpg,1955 41st Ave,Ste A-2,,Capitola,US,CA,95010,Asian Express,+18314769999,$,3.5,268,[],https://www.yelp.com/biz/asian-express-capitola-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
thanh-loi-noodles-salinas-5,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",36.71967,-121.65495,(831) 975-4549,25780.798141435724,FUBQHo0XuBabArPJx1OATw,https://s3-media2.fl.yelpcdn.com/bphoto/Zg21bKmEWz54D1TxSVsq0A/o.jpg,1940 N Main St,,,Salinas,US,CA,93906,Thanh Loi Noodles,+18319754549,,4.5,68,[],https://www.yelp.com/biz/thanh-loi-noodles-salinas-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lucky-noodle-house-marina,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",36.684189,-121.795285,(831) 883-8003,27504.560159139604,VuKX2M2tpvOvJGVAeIbLHA,https://s3-media1.fl.yelpcdn.com/bphoto/iXV5EkSryLSTRPD0jIvoJA/o.jpg,266 Reservation Rd,Ste R,,Marina,US,CA,93933,Pho Lucky Noodle House,+18318838003,$,4.0,248,[],https://www.yelp.com/biz/pho-lucky-noodle-house-marina?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-bar-seaside,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",36.6174749082245,-121.840878733171,(831) 392-0210,35364.24232903383,rjqWA1mAZcGsOtRrMYfPAQ,https://s3-media3.fl.yelpcdn.com/bphoto/yxC5ciYUXgJ75MH9bP_dLQ/o.jpg,1944 Fremont Blvd,,,Seaside,US,CA,93955,Noodle Bar,+18313920210,$,4.0,379,[],https://www.yelp.com/biz/noodle-bar-seaside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-bar-marina-2,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",36.6875239031101,-121.797410220076,(831) 384-6225,27148.612060014973,XNLQBrZvO7o5svUwAno8yA,https://s3-media2.fl.yelpcdn.com/bphoto/_o41-WscQsoMXWC7ZfFGIg/o.jpg,215 Reservation Rd,Ste E,,Marina,US,CA,93933,Noodle Bar,+18313846225,$,4.0,587,[],https://www.yelp.com/biz/noodle-bar-marina-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-2-siam-bistro-gilroy-3,"['vietnamese', 'thai']","['Vietnamese', 'Thai']",37.0124363,-121.5946556,(408) 848-6000,18316.093272159498,4TnPziE38JPK6CikPdCFGQ,https://s3-media1.fl.yelpcdn.com/bphoto/6tMIBn4wv62aqdF4hWs78Q/o.jpg,1280 1st St,Ste E,,Gilroy,US,CA,95020,Saigon -2- Siam Bistro,+14088486000,$$,4.5,637,[],https://www.yelp.com/biz/saigon-2-siam-bistro-gilroy-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
plates-com-tam-seaside,"['vietnamese', 'noodles', 'asianfusion']","['Vietnamese', 'Noodles', 'Asian Fusion']",36.6188419,-121.8402465,(831) 394-7653,35211.98499444011,fDhaTkYlUyHLM9bWZV6iHQ,https://s3-media2.fl.yelpcdn.com/bphoto/fgwxFJGfkFqF_o-u3a_EWg/o.jpg,1988 Fremont Blvd,,,Seaside,US,CA,93955,PLATES Com Tam,+18313947653,$,4.5,204,['pickup'],https://www.yelp.com/biz/plates-com-tam-seaside?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
champa-kitchen-san-jose,"['halal', 'vietnamese', 'asianfusion']","['Halal', 'Vietnamese', 'Asian Fusion']",37.253361666,-121.79706383,(408) 912-5419,35924.22045972952,v5q7IydFoH_VneyaPFfdIQ,https://s3-media2.fl.yelpcdn.com/bphoto/bKcToJsQ8uGY0FNVsbI_kA/o.jpg,5560 Monterey Rd,,,San Jose,US,CA,95138,Champa Kitchen,+14089125419,,5.0,19,[],https://www.yelp.com/biz/champa-kitchen-san-jose?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-house-salinas,['vietnamese'],['Vietnamese'],36.6949521,-121.6682548,(831) 758-4071,27912.06936940628,WwI_amoXLm2Cy7DwJGdDiA,https://s3-media3.fl.yelpcdn.com/bphoto/ijWXpQ1FHYOfGMWPeucXZQ/o.jpg,1022 N Davis Rd,,,Salinas,US,CA,93907,Noodle House,+18317584071,$,4.0,203,[],https://www.yelp.com/biz/noodle-house-salinas?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
