alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
fuzion-five-palm-springs,"['vietnamese', 'laotian']","['Vietnamese', 'Laotian']",33.8196145431414,-116.547174210232,(760) 322-6162,14430.253797434285,_IFuwmOaSHeB5IfM4nnQyw,https://s3-media2.fl.yelpcdn.com/bphoto/PZZ5Hw-8Q3GNinQiqu9gmQ/o.jpg,285 S Palm Canyon Dr,,,Palm Springs,US,CA,92262,Fuzion Five,+17603226162,$$,4.0,187,[],https://www.yelp.com/biz/fuzion-five-palm-springs?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
533-viet-fusion-palm-springs-2,"['vietnamese', 'cocktailbars']","['Vietnamese', 'Cocktail Bars']",33.80021,-116.52736,(760) 778-6595,17298.098522877484,4GBUMGUKlsPn2BiQF1aGNA,https://s3-media2.fl.yelpcdn.com/bphoto/s5c3Dd5lgcvgVKvZJFLrDA/o.jpg,1775 E Palm Canyon Dr,Ste 625,,Palm Springs,US,CA,92264,533 Viet Fusion,+17607786595,$$,4.0,614,"['pickup', 'delivery']",https://www.yelp.com/biz/533-viet-fusion-palm-springs-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
rooster-and-the-pig-palm-springs-7,"['vietnamese', 'newamerican']","['Vietnamese', 'American (New)']",33.8191136864959,-116.545017587033,(760) 832-6691,14592.284109914106,Cdm3oHjSsOy6VdDSIvNliQ,https://s3-media3.fl.yelpcdn.com/bphoto/F1hCPZjvFnrwWRtOUycuEQ/o.jpg,356 S Indian Canyon Dr,,,Palm Springs,US,CA,92262,Rooster And The Pig,+17608326691,$$,4.0,1001,[],https://www.yelp.com/biz/rooster-and-the-pig-palm-springs-7?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-na-vietnamese-cuisine-desert-hot-springs-2,['vietnamese'],['Vietnamese'],33.945280744044,-116.50060838147,(760) 288-7167,12911.878417873526,eXJW8PJRb26wUpgYjvD43w,https://s3-media1.fl.yelpcdn.com/bphoto/keJmsNedMZQxIKMkLo_Qsg/o.jpg,14220 Palm Dr,,,Desert Hot Springs,US,CA,92240,Pho Na Vietnamese Cuisine,+17602887167,$$,3.5,111,[],https://www.yelp.com/biz/pho-na-vietnamese-cuisine-desert-hot-springs-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
tk-donuts-thai-and-vietnamese-food-desert-hot-springs,"['thai', 'donuts', 'vietnamese']","['Thai', 'Donuts', 'Vietnamese']",33.952111,-116.501323,(760) 671-4077,13001.412767605143,VOPXwGyeXHFjFD-EC7pudA,https://s3-media3.fl.yelpcdn.com/bphoto/b36c-BPZiUi8BTcIBJn7Qw/o.jpg,13313 Palm Dr,,,Desert Hot Springs,US,CA,92240,TK Donuts Thai & Vietnamese Food,+17606714077,$,4.0,36,[],https://www.yelp.com/biz/tk-donuts-thai-and-vietnamese-food-desert-hot-springs?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bangkok-noodles-cathedral-city,"['thai', 'noodles', 'vegetarian']","['Thai', 'Noodles', 'Vegetarian']",33.788490762357,-116.459222036597,(760) 324-3533,22452.999450025527,8_yCODlIklV-YixcgGBPtA,https://s3-media4.fl.yelpcdn.com/bphoto/ZdiMjUEe5xmyevE4uQlQ_Q/o.jpg,35911 Date Palm Dr,,,Cathedral City,US,CA,92234,Bangkok Noodles,+17603243533,$$,4.0,177,['pickup'],https://www.yelp.com/biz/bangkok-noodles-cathedral-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
talay-thai-rancho-mirage-3,"['thai', 'soup', 'noodles']","['Thai', 'Soup', 'Noodles']",33.76193,-116.44213,(760) 832-9588,25631.4550808181,sLWvbNh667zxt4rs7t1QZA,https://s3-media1.fl.yelpcdn.com/bphoto/hNpDFf-TpwOAQECskYlzCA/o.jpg,70065 Hwy 111,Ste 1,,Rancho Mirage,US,CA,92270,Talay Thai,+17608329588,$$,4.5,226,"['pickup', 'delivery']",https://www.yelp.com/biz/talay-thai-rancho-mirage-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
snow-and-crab-palm-springs,"['seafood', 'bubbletea', 'shavedice']","['Seafood', 'Bubble Tea', 'Shaved Ice']",33.8215051,-116.5280951,(760) 218-6056,15400.317592601337,jMPnRLC1uHrnmpkrh2XKRA,https://s3-media1.fl.yelpcdn.com/bphoto/A8RVaUbJfJCdhz4PoStIsQ/o.jpg,186 S Sunrise Way,,,Palm Springs,US,CA,92262,Snow & Crab,+17602186056,$$,4.0,97,[],https://www.yelp.com/biz/snow-and-crab-palm-springs?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
palm-greens-cafe-palm-springs,"['vegan', 'breakfast_brunch', 'newamerican']","['Vegan', 'Breakfast & Brunch', 'American (New)']",33.8137928100129,-116.54606638382,(760) 864-9900,15018.62668379072,UzEK-MEb7JhlvlB9Hm4zRA,https://s3-media4.fl.yelpcdn.com/bphoto/A0LL6vwIN4Hmu4RT0dGpbg/o.jpg,611 S Palm Canyon Dr,Ste 6,,Palm Springs,US,CA,92264,Palm Greens Cafe,+17608649900,$$,4.0,1076,[],https://www.yelp.com/biz/palm-greens-cafe-palm-springs?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
new-fortune-chinese-restaurant-cathedral-city,['chinese'],['Chinese'],33.7886428833008,-116.483795166016,(760) 770-2988,21066.93369490685,9vg012rl5ZA7TuUuFFV9dQ,https://s3-media2.fl.yelpcdn.com/bphoto/9mWDePqm5-8ThAt3ofb7tg/o.jpg,67555 E Palm Canyon Dr,,,Cathedral City,US,CA,92234,New Fortune Chinese Restaurant,+17607702988,$$,3.5,189,"['pickup', 'delivery']",https://www.yelp.com/biz/new-fortune-chinese-restaurant-cathedral-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
