alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
vietnam-bistro-chico-2,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",39.7610345,-121.8467471,(530) 433-7108,41140.76258419668,Ewo1UjwKs_EPqnMqiO6Prw,https://s3-media2.fl.yelpcdn.com/bphoto/XFbY1Vt8xwHnlnPsgqoRsA/o.jpg,788 E Ave,,,Chico,US,CA,95926,Vietnam Bistro,+15304337108,$,4.0,164,[],https://www.yelp.com/biz/vietnam-bistro-chico-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-c-and-c-chico,['vietnamese'],['Vietnamese'],39.77445,-121.84425,(530) 892-1415,42327.443589724164,ai5ueFbyZA9jQX2cxbyXZw,https://s3-media3.fl.yelpcdn.com/bphoto/072zZBs6NugpMWcNvnRBWg/o.jpg,3211 Cohasset Rd,,,Chico,US,CA,95973,Pho C&C,+15308921415,$,4.0,181,[],https://www.yelp.com/biz/pho-c-and-c-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
everyday-vietnamese-cuisine-chico,['vietnamese'],['Vietnamese'],39.730327,-121.858295,(530) 893-2888,38155.60278183787,A91mSYTFcX-wBWNyhrvV-Q,https://s3-media3.fl.yelpcdn.com/bphoto/u3uIyS_nZEoY0m7xAaXn6Q/o.jpg,951 Nord Ave,Ste A,,Chico,US,CA,95926,Everyday Vietnamese Cuisine,+15308932888,$,4.0,128,[],https://www.yelp.com/biz/everyday-vietnamese-cuisine-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-le-chico,['vietnamese'],['Vietnamese'],39.75702,-121.84799,(530) 487-8933,40709.56535495372,SVGTbDP0vurokmeCVoNh5A,https://s3-media2.fl.yelpcdn.com/bphoto/UhOJYEJFVB98wMUjneY-oQ/o.jpg,2201 Pillsbury Rd,,,Chico,US,CA,95926,Pho Le,+15304878933,$$,4.0,123,[],https://www.yelp.com/biz/pho-le-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-noodle-house-oroville,"['thai', 'noodles', 'asianfusion']","['Thai', 'Noodles', 'Asian Fusion']",39.51288,-121.55636,(530) 532-9630,55303.49926945322,1qQ4fP8hE70nfKZOEHeYEA,https://s3-media1.fl.yelpcdn.com/bphoto/aSoppumJy9iaOMRecQg4BA/o.jpg,1898 Bird St,,,Oroville,US,CA,95965,Pho Noodle House,+15305329630,$,4.0,154,[],https://www.yelp.com/biz/pho-noodle-house-oroville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-rice-n-noodle-yuba-city,"['vietnamese', 'noodles', 'asianfusion']","['Vietnamese', 'Noodles', 'Asian Fusion']",39.140893,-121.632237,(530) 713-8187,63941.67522117244,PTCa3BGdqfyXBZdiM-MsAg,https://s3-media1.fl.yelpcdn.com/bphoto/8U5d3Gcm-CbD9uhhqhULRQ/o.jpg,1272 Colusa Ave,Ste D,,Yuba City,US,CA,95991,Saigon Rice N’ Noodle,+15307138187,,3.5,25,[],https://www.yelp.com/biz/saigon-rice-n-noodle-yuba-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saltea-orland,"['juicebars', 'coffee', 'sandwiches']","['Juice Bars & Smoothies', 'Coffee & Tea', 'Sandwiches']",39.74721,-122.19369,(530) 988-3181,26239.432264265688,LHuYdEBCbG5m5GU_hXgP_g,https://s3-media1.fl.yelpcdn.com/bphoto/0Taa-E8aDZnMGTifG7gBHA/o.jpg,701 4th St,,,Orland,US,CA,95963,Saltea,+15309883181,$,4.5,47,[],https://www.yelp.com/biz/saltea-orland?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
noodle-house-chico,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",39.7341690063477,-121.836296081543,(530) 345-2022,39879.556153464495,mfVEHbjbVX6f0_WycwkUGg,https://s3-media3.fl.yelpcdn.com/bphoto/zdqb5CxAkSD-iL_L-pxuJw/o.jpg,605 Mangrove Ave,Ste 130,,Chico,US,CA,95926,Noodle House,+15303452022,$,3.0,98,[],https://www.yelp.com/biz/noodle-house-chico?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-cuisine-marysville,"['asianfusion', 'thai']","['Asian Fusion', 'Thai']",39.1487343,-121.5854108,(530) 741-9041,66547.64728345099,X3CJC0SjOcFAhcosv681Rw,https://s3-media2.fl.yelpcdn.com/bphoto/CO3yaxLU9Nd-8b-rv_8Nvw/o.jpg,22 E 12th St,,,Marysville,US,CA,95901,Asian Cuisine,+15307419041,$,4.0,93,[],https://www.yelp.com/biz/asian-cuisine-marysville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
quickly-pho-king-best-oroville-3,['vietnamese'],['Vietnamese'],39.502323,-121.56231,(530) 353-3499,54811.96638451672,9pqDXKXLBkJ6h0GeZQTcjQ,https://s3-media1.fl.yelpcdn.com/bphoto/ZVr1UKo2sJmRRzNi9Vk5Yw/o.jpg,1124 Oro Dam Blvd E,,,Oroville,US,CA,95965,Quickly Pho King Best!,+15303533499,$,3.5,68,[],https://www.yelp.com/biz/quickly-pho-king-best-oroville-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
