alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-ha-1-temecula-2,['vietnamese'],['Vietnamese'],33.506326,-117.146745,(951) 506-0862,16108.539469878762,mR66uHoU47NQ8pV_N6mFtg,https://s3-media4.fl.yelpcdn.com/bphoto/lfDZm3yHkGcpIjltigJLLg/o.jpg,27536 Ynez Rd,Ste F23,,Temecula,US,CA,92591,Pho Ha #1,+19515060862,$,4.0,405,[],https://www.yelp.com/biz/pho-ha-1-temecula-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
saigon-noodle-house-temecula,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",33.517569,-117.162121,(951) 693-1691,15347.62637751929,8YZCyLZKhfxl_YMlom6YSQ,https://s3-media2.fl.yelpcdn.com/bphoto/urxrhdxil--utoCBQ9LLsg/o.jpg,27523 Jefferson Ave,,,Temecula,US,CA,92590,Saigon Noodle House,+19516931691,$,4.0,136,[],https://www.yelp.com/biz/saigon-noodle-house-temecula?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-mai-vietnamese-gourmet-temecula,['vietnamese'],['Vietnamese'],33.5206255316734,-117.1567748487,(951) 296-1880,14796.427821370286,FQ031MYYd1G3tPQoN9u45g,https://s3-media3.fl.yelpcdn.com/bphoto/CUIt0CLUrzi483igrgNgCQ/o.jpg,26487 Ynez Rd,Ste H,,Temecula,US,CA,92591,Pho Mai Vietnamese Gourmet,+19512961880,$,4.0,243,[],https://www.yelp.com/biz/pho-mai-vietnamese-gourmet-temecula?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
phonomenon-temecula,"['vietnamese', 'vegetarian', 'bars']","['Vietnamese', 'Vegetarian', 'Bars']",33.5196623219029,-117.153456285596,(951) 676-9999,14859.916861305575,5L_0Rg6PqE4BYYb9U4vnKQ,https://s3-media1.fl.yelpcdn.com/bphoto/4Ed6YCJg3UB83kD9ND6JRw/o.jpg,41797 Nicole Ln,,,Temecula,US,CA,92591,Phonomenon,+19516769999,$,3.5,394,['pickup'],https://www.yelp.com/biz/phonomenon-temecula?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
banh-mi-hemet,"['vietnamese', 'sandwiches', 'bubbletea']","['Vietnamese', 'Sandwiches', 'Bubble Tea']",33.7459659958486,-117.008210707895,(951) 652-3327,14122.262195601026,vlLtcFR3-U8txdyOZvPDHQ,https://s3-media1.fl.yelpcdn.com/bphoto/DVRtvY9UrigT3lupuNs1Og/o.jpg,3429 West Florida Ave,,,Hemet,US,CA,92545,Banh Mi,+19516523327,$,4.5,207,[],https://www.yelp.com/biz/banh-mi-hemet?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
spicy-noodle-murrieta-3,"['thai', 'noodles', 'asianfusion']","['Thai', 'Noodles', 'Asian Fusion']",33.5508176,-117.1947052,(951) 677-7866,13606.24863737938,AWJIxnx_MYt9x9TJGtTIyg,https://s3-media4.fl.yelpcdn.com/bphoto/raLCto7Estrk9zMKtcnlzA/o.jpg,25395 Madison Ave,Ste 107,,Murrieta,US,CA,92562,Spicy Noodle,+19516777866,$$,4.0,1002,[],https://www.yelp.com/biz/spicy-noodle-murrieta-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
lemongrass-asian-cuisine-hemet,"['thai', 'asianfusion', 'vietnamese']","['Thai', 'Asian Fusion', 'Vietnamese']",33.736089742978,-117.008030109611,(951) 766-1506,13292.024356991808,EZb6PWnX0leRpEzvMm-4Gg,https://s3-media2.fl.yelpcdn.com/bphoto/KnhJB1u55xqIodsiZvx_cg/o.jpg,3376 Wentworth Dr,,,Hemet,US,CA,92545,Lemongrass Asian Cuisine,+19517661506,$$,4.0,550,[],https://www.yelp.com/biz/lemongrass-asian-cuisine-hemet?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
fresh-and-yummy-hemet,['vietnamese'],['Vietnamese'],33.7482833862305,-117.004508972168,(951) 925-6981,14537.460869454813,9RVJ7cu2TxrGXwSB53qaTA,https://s3-media3.fl.yelpcdn.com/bphoto/R28dHgvDHor_ABe0VTLW9g/o.jpg,3112 W Florida Ave,,,Hemet,US,CA,92545,Fresh & Yummy,+19519256981,$,4.0,226,[],https://www.yelp.com/biz/fresh-and-yummy-hemet?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-tho-murrieta,['vietnamese'],['Vietnamese'],33.5551754,-117.174406,(951) 698-7108,12113.380734244029,aHtCn7vq0q0jdd2tGQ8AMg,https://s3-media2.fl.yelpcdn.com/bphoto/Yc8q2cTWMSgkZDZF5NgOnw/o.jpg,40250 Murrieta Hot Springs Rd,Ste 101,,Murrieta,US,CA,92563,Pho Tho,+19516987108,$,3.5,185,[],https://www.yelp.com/biz/pho-tho-murrieta?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-neighbors-lake-elsinore,['vietnamese'],['Vietnamese'],33.6547362373382,-117.298637218773,(951) 674-6789,18106.10986050522,5PzZTgjJihyJ6w5WWrV6vg,https://s3-media2.fl.yelpcdn.com/bphoto/Rej3EKjCuwDEPt6LmuMfHA/o.jpg,32245 Mission Trl,,,Lake Elsinore,US,CA,92530,Pho' Neighbors,+19516746789,$,4.5,115,[],https://www.yelp.com/biz/pho-neighbors-lake-elsinore?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
golden-bowl-temecula,"['vietnamese', 'thai']","['Vietnamese', 'Thai']",33.47495,-117.1212,(951) 303-2835,19144.454975890163,nJnFc04CbUaEzctWW-Yh7A,https://s3-media1.fl.yelpcdn.com/bphoto/TiXFutEJntZrV3sH8ir58w/o.jpg,31069 Temecula Pkwy,,,Temecula,US,CA,92592,Golden Bowl,+19513032835,$$,4.0,232,['pickup'],https://www.yelp.com/biz/golden-bowl-temecula?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-dao-1-murrieta,['vietnamese'],['Vietnamese'],33.572871,-117.182825,(951) 698-2882,11021.498796694226,Ei1cKZ8DUkd-bDQP2AdmEw,https://s3-media3.fl.yelpcdn.com/bphoto/gOmRTdCnB5V3l8pkdQsXXQ/o.jpg,39840 Los Alamos Rd,Ste D5,,Murrieta,US,CA,92562,Pho Dao 1,+19516982882,$,3.5,345,[],https://www.yelp.com/biz/pho-dao-1-murrieta?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
rose-garden-thai-cuisine-murrieta-5,"['thai', 'noodles', 'bubbletea']","['Thai', 'Noodles', 'Bubble Tea']",33.5552214069106,-117.155183373221,(951) 698-4800,11240.17477097679,UURTindiXUcZoS1OLtVlVA,https://s3-media3.fl.yelpcdn.com/bphoto/XSYX3zHYvNRWURbPNTxOfQ/o.jpg,39400 Murrieta Hot Springs Rd,Ste 105,,Murrieta,US,CA,92563,Rose Garden Thai Cuisine,+19516984800,$$,4.0,331,"['pickup', 'delivery']",https://www.yelp.com/biz/rose-garden-thai-cuisine-murrieta-5?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-tyc-wildomar,['vietnamese'],['Vietnamese'],33.58854,-117.25272,(951) 609-1636,15304.407997698374,EqRbpSdJws1AaowvIQkuYg,https://s3-media2.fl.yelpcdn.com/bphoto/lyCFoOR_h_oVPfznhDD1SA/o.jpg,32475 Clinton Keith Rd,,,Wildomar,US,CA,92595,Pho TYC,+19516091636,$,3.0,97,[],https://www.yelp.com/biz/pho-tyc-wildomar?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
delish-vietnamese-and-vegetarian-cuisine-temecula,['vietnamese'],['Vietnamese'],33.5259166014569,-117.149611003697,(951) 719-3949,14088.414767223847,UXpvjLtE8kmLbP5eIttD1Q,https://s3-media1.fl.yelpcdn.com/bphoto/RooYdl67_O-xRhRmJd0diA/o.jpg,40573 Margarita Rd,Ste D,,Temecula,US,CA,92591,Delish Vietnamese & Vegetarian Cuisine,+19517193949,$$,4.0,195,[],https://www.yelp.com/biz/delish-vietnamese-and-vegetarian-cuisine-temecula?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
