alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
saigon-pho-vacaville,"['vietnamese', 'noodles', 'asianfusion']","['Vietnamese', 'Noodles', 'Asian Fusion']",38.3517428837441,-121.965328171042,(707) 451-2548,20182.076407118384,G34kS7Ew4oTBoAu3lYal3w,https://s3-media2.fl.yelpcdn.com/bphoto/xNoHnbu7OqpDZgvS_BqoDQ/o.jpg,500 Elmira Rd,,,Vacaville,US,CA,95687,Saigon Pho,+17074512548,$,4.0,246,[],https://www.yelp.com/biz/saigon-pho-vacaville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-lee-hoa-phat-vacaville,['vietnamese'],['Vietnamese'],38.3539886474609,-121.978248596191,(707) 452-8829,19904.0982611954,HiXZsD-HT1K6izxqb9GjXw,https://s3-media1.fl.yelpcdn.com/bphoto/6X5vX5tGLNkE4sgAeZ_1rQ/o.jpg,88 Peabody Rd,,,Vacaville,US,CA,95687,Pho Lee Hoa Phat,+17074528829,$,3.5,470,[],https://www.yelp.com/biz/pho-lee-hoa-phat-vacaville?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-no-1-vietnamese-restaurant-fairfield-2,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",38.265079498291,-122.033157348633,(707) 422-4383,30177.42129486428,ZNScrXCoB73D3QdnxvQ0CA,https://s3-media1.fl.yelpcdn.com/bphoto/uQBzmj3M0UMcAuWM4YxTmQ/o.jpg,1972 N Texas St,Ste C,,Fairfield,US,CA,94533,Pho Saigon No 1 Vietnamese Restaurant,+17074224383,$,4.0,426,[],https://www.yelp.com/biz/pho-saigon-no-1-vietnamese-restaurant-fairfield-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-huong-viet-noodle-house-vallejo,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",38.1551489904289,-122.254158384077,(707) 649-9999,48444.75917011521,j1OVMOruD9GmpdZ9VKYaiw,https://s3-media3.fl.yelpcdn.com/bphoto/Le5lXM_1cGg3v1G6Wgp6Ow/o.jpg,5201 Sonoma Blvd,Ste 37,,Vallejo,US,CA,94589,Pho Huong Viet Noodle House,+17076499999,$,4.5,156,[],https://www.yelp.com/biz/pho-huong-viet-noodle-house-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
danang-tourane-vietnamese-restaurant-antioch,['vietnamese'],['Vietnamese'],37.9824306685192,-121.765165328979,(925) 206-4412,63967.48196921809,kMuAHSghgVuNmDmmjPAhdA,https://s3-media1.fl.yelpcdn.com/bphoto/p-Z0_htIqg2a1qmKomkkLQ/o.jpg,4393 Hillcrest Ave,,Wild Horse Road Shopping Plz,Antioch,US,CA,94531,DaNang Tourane Vietnamese Restaurant,+19252064412,$,4.5,535,[],https://www.yelp.com/biz/danang-tourane-vietnamese-restaurant-antioch?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
simmer-vietnamese-kitchen-petaluma,['vietnamese'],['Vietnamese'],38.2518594,-122.6306112,(707) 762-4288,64931.36524317056,7mfUPWdDP-GMznxKPr34Aw,https://s3-media3.fl.yelpcdn.com/bphoto/9tt-g4hWpKjJiq9BwJJ1iw/o.jpg,299 N McDowell Blvd,,,Petaluma,US,CA,94954,Simmer Vietnamese Kitchen,+17077624288,$$,4.0,344,[],https://www.yelp.com/biz/simmer-vietnamese-kitchen-petaluma?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-1-vallejo,"['vietnamese', 'soup']","['Vietnamese', 'Soup']",38.1266670227051,-122.256126403809,(707) 553-9859,51287.75918543859,1VxBZ-4qmygsiM6j7IMWYg,https://s3-media4.fl.yelpcdn.com/bphoto/WBWckN2EfBL1mSx22DjP4Q/o.jpg,3885 Sonoma Blvd,,,Vallejo,US,CA,94589,Pho 1,+17075539859,$,4.0,478,[],https://www.yelp.com/biz/pho-1-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
quan-nem-ninh-hoa-sacramento,['vietnamese'],['Vietnamese'],38.5087866336107,-121.435145661235,(916) 428-3748,47260.537625095865,vZE-nRz2AC-fshDJ3XH7wg,https://s3-media3.fl.yelpcdn.com/bphoto/xd4EIW9fmbZhMDicsHqRYg/o.jpg,6450 Stockton Blvd,,,Sacramento,US,CA,95823,Quan Nem Ninh Hoa,+19164283748,$,4.0,1018,[],https://www.yelp.com/biz/quan-nem-ninh-hoa-sacramento?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-king-4-davis-2,"['vietnamese', 'chinese']","['Vietnamese', 'Chinese']",38.5437213,-121.7459065,(530) 589-8888,20186.64948743497,UQi46vvRtAtQ20JvFnsptg,https://s3-media2.fl.yelpcdn.com/bphoto/wFk29rWhfhgo5p9NsU-rUg/o.jpg,226 3rd St,,,Davis,US,CA,95616,Pho King 4,+15305898888,$,3.0,600,"['delivery', 'pickup']",https://www.yelp.com/biz/pho-king-4-davis-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-saigon-village-noodle-house-vallejo,"['vietnamese', 'noodles', 'soup']","['Vietnamese', 'Noodles', 'Soup']",38.1238496636739,-122.253961014274,(707) 534-6286,51486.61751928762,pBTdaGcpMOEdQ4Iylm_SQQ,https://s3-media2.fl.yelpcdn.com/bphoto/oNbl1B8_kls2qMRdxBAF8w/o.jpg,3636 Sonoma Blvd,,,Vallejo,US,CA,94590,Pho Saigon Village Noodle House,+17075346286,$,4.5,164,[],https://www.yelp.com/biz/pho-saigon-village-noodle-house-vallejo?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bui-bistro-napa,"['vietnamese', 'french']","['Vietnamese', 'French']",38.3008499,-122.28641,(707) 255-5417,37274.96889196654,6keF8wbnbKzOAMRsyZ9SuA,https://s3-media1.fl.yelpcdn.com/bphoto/dZhs675hdj6pUV0xJrEBIg/o.jpg,976 Pearl St,,,Napa,US,CA,94559,Bui Bistro,+17072555417,$$,3.5,250,[],https://www.yelp.com/biz/bui-bistro-napa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-viet-san-rafael,['vietnamese'],['Vietnamese'],37.966903,-122.514713,(415) 455-8063,78498.45203246927,JI1F0rdh6jkxKnlgSdDrwQ,https://s3-media2.fl.yelpcdn.com/bphoto/c5ehquwH-iqKc7qcbROuHQ/o.jpg,555 E Francisco Blvd,Ste 22,,San Rafael,US,CA,94901,Pho Viet,+14154558063,$$,4.0,421,['pickup'],https://www.yelp.com/biz/pho-viet-san-rafael?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
chay-corner-davis-2,"['vegan', 'vietnamese', 'sandwiches']","['Vegan', 'Vietnamese', 'Sandwiches']",38.5465,-121.74006,(530) 746-2088,20710.734869975648,xcDBpd6h7EUcb2Adba4WmA,https://s3-media1.fl.yelpcdn.com/bphoto/z6S7bWLRjjkZ00v1rS8p-w/o.jpg,407 G St,Ste 4,,Davis,US,CA,95616,Chay Corner,+15307462088,,4.0,30,[],https://www.yelp.com/biz/chay-corner-davis-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
