alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,location_address1,location_address2,location_address3,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
pho-dong-restaurant-redwood-city,['vietnamese'],['Vietnamese'],37.4863900472584,-122.234052005326,(650) 298-9900,8250.715810995003,5I60MrqrzwA9I4JiqK4rOA,https://s3-media4.fl.yelpcdn.com/bphoto/tGbi4Jc3EyY9mmTMLOGv2Q/o.jpg,2610 Broadway St,,,Redwood City,US,CA,94063,Pho Dong Restaurant,+16502989900,$$,3.5,552,['pickup'],https://www.yelp.com/biz/pho-dong-restaurant-redwood-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
mays-vietnamese-restaurant-redwood-city,['vietnamese'],['Vietnamese'],37.4866764,-122.2279786,(650) 599-9413,8463.477079637421,FXQPPkhEwvlg-9uahMnZ9g,https://s3-media2.fl.yelpcdn.com/bphoto/Pm6wLkR9UkuXrX7HrTeZiw/o.jpg,2088 Broadway St,,,Redwood City,US,CA,94063,May's Vietnamese Restaurant,+16505999413,$,3.5,264,[],https://www.yelp.com/biz/mays-vietnamese-restaurant-redwood-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-truong-long-redwood-city,['vietnamese'],['Vietnamese'],37.4671015,-122.2242738,(650) 369-3767,6604.124551400106,NJcPAZclp6UJ5tjxLaYoFQ,https://s3-media4.fl.yelpcdn.com/bphoto/Snb0SmSzZ9q7SlEjG0tvoQ/o.jpg,756 Woodside Rd,,,Redwood City,US,CA,94061,Pho Truong Long,+16503693767,$,3.0,220,[],https://www.yelp.com/biz/pho-truong-long-redwood-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
hometown-noodle-redwood-city,"['vietnamese', 'noodles']","['Vietnamese', 'Noodles']",37.47249,-122.20454,(650) 367-0567,8079.753399942512,7hdpJs1Vre804Gd4pW4bjg,https://s3-media3.fl.yelpcdn.com/bphoto/WJZHwna7Mtxi7C7DmMUOZQ/o.jpg,3151 Middlefield Rd,,,Redwood City,US,CA,94063,Hometown Noodle,+16503670567,$,3.5,564,['pickup'],https://www.yelp.com/biz/hometown-noodle-redwood-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
asian-box-palo-alto,['vietnamese'],['Vietnamese'],37.4386936461213,-122.159828139907,(650) 391-9305,9330.7859111938,huHxwjbkyEf1nTam-o2BOQ,https://s3-media1.fl.yelpcdn.com/bphoto/lvgg0oXHofq8tdF93ftTAA/o.jpg,855 El Camino Real,,,Palo Alto,US,CA,94301,Asian Box,+16503919305,$$,3.5,633,"['pickup', 'delivery']",https://www.yelp.com/biz/asian-box-palo-alto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
pho-banh-mi-palo-alto,"['vietnamese', 'sandwiches', 'juicebars']","['Vietnamese', 'Sandwiches', 'Juice Bars & Smoothies']",37.44738,-122.16053,,9596.413472659615,lWn5dNLflRtK6wBujGxvBg,https://s3-media3.fl.yelpcdn.com/bphoto/IasDqmRPphIYIC5cx68Mkg/o.jpg,405 University Ave,,,Palo Alto,US,CA,94301,Pho Banh Mi,,,3.5,38,[],https://www.yelp.com/biz/pho-banh-mi-palo-alto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
black-pepper-restaurant-menlo-park,"['asianfusion', 'thai', 'malaysian']","['Asian Fusion', 'Thai', 'Malaysian']",37.45288,-122.18222,(650) 485-2345,8140.3216623539765,ZrSkPsN7rslObYRl7cZWzg,https://s3-media3.fl.yelpcdn.com/bphoto/fmUybAUJbRAtXX0Vlmg9Wg/o.jpg,1029 El Camino Real,,,Menlo Park,US,CA,94025,Black Pepper Restaurant,+16504852345,$$,4.0,392,"['pickup', 'restaurant_reservation']",https://www.yelp.com/biz/black-pepper-restaurant-menlo-park?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
redwood-bistro-redwood-city,['chinese'],['Chinese'],37.48712,-122.23548,(650) 216-9988,8288.186062658333,7WLVcOSqcBJZG36_rdI3CA,https://s3-media4.fl.yelpcdn.com/bphoto/L7xtiz9QcGvDv5nEg2GiNg/o.jpg,711 El Camino Real,,,Redwood City,US,CA,94063,Redwood Bistro,+16502169988,$$,4.5,230,[],https://www.yelp.com/biz/redwood-bistro-redwood-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
ramen-nagi-palo-alto,"['ramen', 'noodles']","['Ramen', 'Noodles']",37.445523,-122.1607073261,,9496.138399031028,vhfPni9pci29SEHrN1OtRg,https://s3-media3.fl.yelpcdn.com/bphoto/gxSfnCdg13rWle8DcjmT6w/o.jpg,541 Bryant St,,,Palo Alto,US,CA,94301,Ramen Nagi,,$$,4.5,1073,[],https://www.yelp.com/biz/ramen-nagi-palo-alto?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
bangkok-bay-thai-cuisine-redwood-city,['thai'],['Thai'],37.4859339970531,-122.234361366169,(650) 365-5369,8194.250146130222,EOtJTv6Zp2pjg9keP4D0fQ,https://s3-media2.fl.yelpcdn.com/bphoto/whV4V33gKi3c2fff_Io4_w/o.jpg,825 El Camino Real,,,Redwood City,US,CA,94063,Bangkok Bay Thai Cuisine,+16503655369,$$,4.0,800,['pickup'],https://www.yelp.com/biz/bangkok-bay-thai-cuisine-redwood-city?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw
