alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,id,image_url,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url,cnt,num_resto_in_city,City,Population,resto_per_capita_city,price_num,category_by_name
pho-vu-la-quinta,vietnamese,Vietnamese,33.7075387926544,-116.27249059624901,(760) 775-2417,FWhjge1DykCtlVjBU5KhmA,https://s3-media3.fl.yelpcdn.com/bphoto/gWXGfxuKaH1n_Uvz5o_eFQ/o.jpg,La Quinta,US,CA,92253.0,Pho Vu,17607752417.0,$,4.0,441,,https://www.yelp.com/biz/pho-vu-la-quinta?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,1,La Quinta,40305.0,0.02481081751643717,1.0,pho
pho-of-the-desert-indio,vietnamese,Vietnamese,33.716305,-116.232306,(760) 775-1500,86ljJKAJv5bLzEVveCrf9g,https://s3-media1.fl.yelpcdn.com/bphoto/sFD7PRsAX4gSbPuzwZV5cA/o.jpg,Indio,US,CA,92201.0,Pho of the Desert,17607751500.0,$,4.0,252,,https://www.yelp.com/biz/pho-of-the-desert-indio?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,1,Indio,86867.0,0.011511851451068877,1.0,pho
kettles-vietnamese-bistro-santa-rosa,vietnamese,Vietnamese,38.4594955444336,-122.73220062255899,(707) 528-3747,wxPfjrSBQWcSRCPy56jA1w,https://s3-media4.fl.yelpcdn.com/bphoto/KhD18fgzJkUVpOHCdNdJew/o.jpg,Santa Rosa,US,CA,95403.0,Kettles Vietnamese Bistro,17075283747.0,$$,4.0,380,pickup,https://www.yelp.com/biz/kettles-vietnamese-bistro-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,2.0,other
pho-sonoma-vietnamese-cuisine-petaluma,vietnamese,Vietnamese,38.23323,-122.63737,(707) 762-6888,chcy5OiTcxXXi9U_nYCR4A,https://s3-media3.fl.yelpcdn.com/bphoto/boCwI_2OUwmoBdP1SqR8Qg/o.jpg,Petaluma,US,CA,94952.0,Pho Sonoma Vietnamese Cuisine,17077626888.0,$$,4.5,133,,https://www.yelp.com/biz/pho-sonoma-vietnamese-cuisine-petaluma?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,2,Petaluma,60210.0,0.03321707357581797,2.0,pho
bui-bistro-napa,"vietnamese,french","Vietnamese,French",38.3008499,-122.28641,(707) 255-5417,6keF8wbnbKzOAMRsyZ9SuA,https://s3-media1.fl.yelpcdn.com/bphoto/dZhs675hdj6pUV0xJrEBIg/o.jpg,Napa,US,CA,94559.0,Bui Bistro,17072555417.0,$$,3.5,250,,https://www.yelp.com/biz/bui-bistro-napa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,1,Napa,79722.0,0.012543588971676577,2.0,other
mai-vietnamese-cuisine-cotati,vietnamese,Vietnamese,38.33110900000001,-122.716399,(707) 665-9628,5UgdrIrJWfac9REkniCyHg,https://s3-media3.fl.yelpcdn.com/bphoto/yllQi3ki7MIF-Apw9EJ5rA/o.jpg,Cotati,US,CA,94931.0,Mai Vietnamese Cuisine,17076659628.0,$$,4.0,338,,https://www.yelp.com/biz/mai-vietnamese-cuisine-cotati?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,1,Cotati,7448.0,0.13426423200859292,2.0,other
thuan-phat-santa-rosa,"vietnamese,sandwiches","Vietnamese,Sandwiches",38.403551,-122.712812,(707) 890-0855,j2BPC-aw9UoL1WhPAWSB_Q,https://s3-media4.fl.yelpcdn.com/bphoto/lU-QlVfyDeOOG9x2v0oQLQ/o.jpg,Santa Rosa,US,CA,95407.0,Thuan Phat,17078900855.0,$,4.5,191,,https://www.yelp.com/biz/thuan-phat-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,1.0,other
goji-kitchen-santa-rosa,"asianfusion,chinese,vietnamese","Asian Fusion,Chinese,Vietnamese",38.4592157222474,-122.71821220740699,(707) 523-3888,3tbjaTYxYNcSoes7ddG0SA,https://s3-media2.fl.yelpcdn.com/bphoto/QFVCQ-Y9pu8EHTTtF_dZ5w/o.jpg,Santa Rosa,US,CA,95403.0,Goji Kitchen,17075233888.0,$$,4.0,497,,https://www.yelp.com/biz/goji-kitchen-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,2.0,other
noodle-palace-santa-rosa,"vietnamese,cambodian,noodles","Vietnamese,Cambodian,Noodles",38.425595,-122.708801,(707) 528-1548,xgw_kiIIyrVNioazypISQg,https://s3-media2.fl.yelpcdn.com/bphoto/cthGasaiWSXn6TWb2qk-2g/o.jpg,Santa Rosa,US,CA,95404.0,Noodle Palace,17075281548.0,$,4.0,296,,https://www.yelp.com/biz/noodle-palace-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,1.0,pho
corner-park-cafe-santa-rosa,"vietnamese,donuts,cafes","Vietnamese,Donuts,Cafes",38.45619,-122.67215,(707) 539-2416,W57lmT1XYZMGUcT7JAhSoA,https://s3-media4.fl.yelpcdn.com/bphoto/-KU4QKk_nqYTAqCCISQc7Q/o.jpg,Santa Rosa,US,CA,95405.0,Corner Park Cafe,17075392416.0,,4.5,13,,https://www.yelp.com/biz/corner-park-cafe-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,,other
